ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
637-76-0954|676309406566|Howard|Hunter|M|445 Alicia Union|Mc Allister|MT|59740|45.408|-111.7761|495|Lecturer, further education|1982-06-02|724366395609|adults_2550_male_rural.json|3894828e83d5835203c2d4c53dbe7b87|2020-02-25|02:03:06|1582621386|grocery_net|8.45|1|fraud_Rowe-Vandervort|45.764424|-111.174201
637-76-0954|676309406566|Howard|Hunter|M|445 Alicia Union|Mc Allister|MT|59740|45.408|-111.7761|495|Lecturer, further education|1982-06-02|724366395609|adults_2550_male_rural.json|2669a710f36ec775e2ce7dbb3f8b2c57|2020-02-25|01:16:17|1582618577|grocery_pos|258.94|1|fraud_McDermott-Weimann|46.262557|-111.651289
637-76-0954|676309406566|Howard|Hunter|M|445 Alicia Union|Mc Allister|MT|59740|45.408|-111.7761|495|Lecturer, further education|1982-06-02|724366395609|adults_2550_male_rural.json|dded0109c2e19e6117a5e485f5b8c880|2020-02-25|00:26:51|1582615611|grocery_pos|296.85|1|fraud_Cartwright-Harris|45.312154|-111.260589
637-76-0954|676309406566|Howard|Hunter|M|445 Alicia Union|Mc Allister|MT|59740|45.408|-111.7761|495|Lecturer, further education|1982-06-02|724366395609|adults_2550_male_rural.json|560dfc80bcefd9b51603b344e37d479a|2020-02-25|00:51:26|1582617086|grocery_pos|294.97|1|fraud_Koepp-Parker|44.766687|-111.915924
637-76-0954|676309406566|Howard|Hunter|M|445 Alicia Union|Mc Allister|MT|59740|45.408|-111.7761|495|Lecturer, further education|1982-06-02|724366395609|adults_2550_male_rural.json|021b58ad124ffa53ddee862bd8d3cded|2020-02-25|03:31:55|1582626715|grocery_pos|316.37|1|fraud_Osinski, Ledner and Leuschke|44.748133|-110.844582
637-76-0954|676309406566|Howard|Hunter|M|445 Alicia Union|Mc Allister|MT|59740|45.408|-111.7761|495|Lecturer, further education|1982-06-02|724366395609|adults_2550_male_rural.json|80df5bd5a63030c8e57bf873a1502ef9|2020-02-26|23:08:07|1582783687|misc_net|927.23|1|fraud_Ferry, Lynch and Kautzer|45.333459|-110.923655
637-76-0954|676309406566|Howard|Hunter|M|445 Alicia Union|Mc Allister|MT|59740|45.408|-111.7761|495|Lecturer, further education|1982-06-02|724366395609|adults_2550_male_rural.json|38b9e9360e081195f5b7307c17196564|2020-02-26|22:41:33|1582782093|health_fitness|783.32|1|fraud_Hintz, Bauch and Smith|45.685743|-112.235818
637-76-0954|676309406566|Howard|Hunter|M|445 Alicia Union|Mc Allister|MT|59740|45.408|-111.7761|495|Lecturer, further education|1982-06-02|724366395609|adults_2550_male_rural.json|3587c55903cc98b872927d3909204ce6|2020-02-26|18:55:54|1582768554|shopping_net|860.74|1|fraud_Zboncak, Rowe and Murazik|46.165710|-111.042141
637-76-0954|676309406566|Howard|Hunter|M|445 Alicia Union|Mc Allister|MT|59740|45.408|-111.7761|495|Lecturer, further education|1982-06-02|724366395609|adults_2550_male_rural.json|7162942c3081e23675000d6607b42777|2020-02-26|22:23:54|1582781034|personal_care|1135.55|1|fraud_Nienow, Barrows and Romaguera|45.613912|-111.161809
637-76-0954|676309406566|Howard|Hunter|M|445 Alicia Union|Mc Allister|MT|59740|45.408|-111.7761|495|Lecturer, further education|1982-06-02|724366395609|adults_2550_male_rural.json|c005beb81e87f59619f08f935834e5e1|2020-02-26|23:37:42|1582785462|shopping_net|987.04|1|fraud_Stanton, Jakubowski and Baumbach|46.375868|-112.062030
637-76-0954|676309406566|Howard|Hunter|M|445 Alicia Union|Mc Allister|MT|59740|45.408|-111.7761|495|Lecturer, further education|1982-06-02|724366395609|adults_2550_male_rural.json|ea697405ee5512bda5eaa7b7cc8aabd3|2020-02-25|20:50:43|1582689043|misc_net|1053.06|1|fraud_Donnelly PLC|45.951192|-112.278183
637-76-0954|676309406566|Howard|Hunter|M|445 Alicia Union|Mc Allister|MT|59740|45.408|-111.7761|495|Lecturer, further education|1982-06-02|724366395609|adults_2550_male_rural.json|5ed45c1b9744de35055148e3b64176e9|2020-02-26|13:17:30|1582748250|shopping_net|961.31|1|fraud_Cormier LLC|44.829280|-112.651965
637-76-0954|676309406566|Howard|Hunter|M|445 Alicia Union|Mc Allister|MT|59740|45.408|-111.7761|495|Lecturer, further education|1982-06-02|724366395609|adults_2550_male_rural.json|adb65c7982fc43298e9dbd8a86448b1f|2020-02-26|23:24:22|1582784662|shopping_net|18.99|1|fraud_Rempel Inc|44.855318|-111.273136
637-76-0954|676309406566|Howard|Hunter|M|445 Alicia Union|Mc Allister|MT|59740|45.408|-111.7761|495|Lecturer, further education|1982-06-02|724366395609|adults_2550_male_rural.json|ad12d087c186e0b5124d24b8e7eacd00|2020-02-26|23:28:37|1582784917|misc_net|20.64|1|fraud_Zemlak Group|45.101076|-112.325052
637-76-0954|676309406566|Howard|Hunter|M|445 Alicia Union|Mc Allister|MT|59740|45.408|-111.7761|495|Lecturer, further education|1982-06-02|724366395609|adults_2550_male_rural.json|751d1601c0362a51c1376be2d68778df|2019-05-05|09:03:13|1557068593|grocery_pos|71.74|0|fraud_Goldner, Kovacek and Abbott|44.688707|-111.399886
637-76-0954|676309406566|Howard|Hunter|M|445 Alicia Union|Mc Allister|MT|59740|45.408|-111.7761|495|Lecturer, further education|1982-06-02|724366395609|adults_2550_male_rural.json|f923aeb9eb5dd07521b048b9230abcdf|2019-09-02|00:21:18|1567405278|shopping_net|70.25|0|fraud_Kerluke-Abshire|46.006629|-112.459289
637-76-0954|676309406566|Howard|Hunter|M|445 Alicia Union|Mc Allister|MT|59740|45.408|-111.7761|495|Lecturer, further education|1982-06-02|724366395609|adults_2550_male_rural.json|bdee62e2fb3024190fda8defdc64c92f|2019-10-31|04:50:01|1572519001|shopping_net|64.23|0|fraud_Kuhic, Bins and Pfeffer|45.904535|-112.179314
637-76-0954|676309406566|Howard|Hunter|M|445 Alicia Union|Mc Allister|MT|59740|45.408|-111.7761|495|Lecturer, further education|1982-06-02|724366395609|adults_2550_male_rural.json|ab2f6e6249b77e21ab2f13c8e8d766d1|2019-01-09|01:08:24|1547021304|gas_transport|72.98|0|fraud_Zieme, Bode and Dooley|46.177655|-112.386664
637-76-0954|676309406566|Howard|Hunter|M|445 Alicia Union|Mc Allister|MT|59740|45.408|-111.7761|495|Lecturer, further education|1982-06-02|724366395609|adults_2550_male_rural.json|3b92c080e6d08e15be416d429d184978|2019-05-11|00:03:42|1557554622|grocery_pos|66.93|0|fraud_Miller-Hauck|46.163475|-111.435201
637-76-0954|676309406566|Howard|Hunter|M|445 Alicia Union|Mc Allister|MT|59740|45.408|-111.7761|495|Lecturer, further education|1982-06-02|724366395609|adults_2550_male_rural.json|81a2427d1eb2900428ff1eee68cfb515|2019-06-05|00:11:12|1559715072|grocery_pos|79.89|0|fraud_Vandervort-Funk|45.032452|-111.022735
637-76-0954|676309406566|Howard|Hunter|M|445 Alicia Union|Mc Allister|MT|59740|45.408|-111.7761|495|Lecturer, further education|1982-06-02|724366395609|adults_2550_male_rural.json|0b9c37503289903e9956211cf9bb19e8|2019-12-10|02:57:45|1575971865|shopping_pos|72.09|0|fraud_Morissette PLC|44.661040|-110.793196
637-76-0954|676309406566|Howard|Hunter|M|445 Alicia Union|Mc Allister|MT|59740|45.408|-111.7761|495|Lecturer, further education|1982-06-02|724366395609|adults_2550_male_rural.json|158b64f1ff26970b99826955dfdf6392|2019-11-13|03:25:20|1573640720|shopping_pos|76.98|0|fraud_Pagac LLC|44.995891|-112.725394
637-76-0954|676309406566|Howard|Hunter|M|445 Alicia Union|Mc Allister|MT|59740|45.408|-111.7761|495|Lecturer, further education|1982-06-02|724366395609|adults_2550_male_rural.json|72156afaa5d06bf3adf18a6db3f8225a|2019-08-31|01:07:26|1567235246|shopping_net|73.80|0|fraud_Jast Ltd|46.335825|-112.608885
