ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
624-01-7599|4598125597772659763|Elizabeth|Dunn|F|580 Johnson Cliffs|East Jewett|NY|12424|42.2469|-74.1353|250|Horticultural therapist|1962-08-10|846644562563|adults_50up_female_rural.json|b8a05673bd7f8d0d2c13e14410d7157d|2020-05-08|00:49:59|1588920599|grocery_pos|18.62|1|fraud_Wolf Inc|43.176017|-74.654307
624-01-7599|4598125597772659763|Elizabeth|Dunn|F|580 Johnson Cliffs|East Jewett|NY|12424|42.2469|-74.1353|250|Horticultural therapist|1962-08-10|846644562563|adults_50up_female_rural.json|94a0de275bdaffa8df9c113565c1ae2a|2020-05-08|02:33:12|1588926792|gas_transport|20.86|1|fraud_Tillman, Dickinson and Labadie|42.036827|-73.286915
624-01-7599|4598125597772659763|Elizabeth|Dunn|F|580 Johnson Cliffs|East Jewett|NY|12424|42.2469|-74.1353|250|Horticultural therapist|1962-08-10|846644562563|adults_50up_female_rural.json|3ed1d9f485c354fe23ac2e8832b9f220|2020-05-08|01:36:34|1588923394|gas_transport|321.23|1|fraud_Conroy-Cruickshank|42.672142|-73.478713
624-01-7599|4598125597772659763|Elizabeth|Dunn|F|580 Johnson Cliffs|East Jewett|NY|12424|42.2469|-74.1353|250|Horticultural therapist|1962-08-10|846644562563|adults_50up_female_rural.json|d8bb933c6e0b3c5871d9ff5926389321|2020-05-08|23:05:33|1589000733|misc_net|694.50|1|fraud_Block-Parisian|42.821112|-74.463366
624-01-7599|4598125597772659763|Elizabeth|Dunn|F|580 Johnson Cliffs|East Jewett|NY|12424|42.2469|-74.1353|250|Horticultural therapist|1962-08-10|846644562563|adults_50up_female_rural.json|1ad6987cb6dcadbbbdda82ece6f3f88b|2020-05-09|22:56:52|1589086612|shopping_net|804.76|1|fraud_Heathcote LLC|41.751376|-75.107363
624-01-7599|4598125597772659763|Elizabeth|Dunn|F|580 Johnson Cliffs|East Jewett|NY|12424|42.2469|-74.1353|250|Horticultural therapist|1962-08-10|846644562563|adults_50up_female_rural.json|c7436a87cd51a4bcc5b6f929d409143b|2020-05-09|22:07:02|1589083622|shopping_pos|711.77|1|fraud_Lesch Ltd|42.783360|-74.094027
624-01-7599|4598125597772659763|Elizabeth|Dunn|F|580 Johnson Cliffs|East Jewett|NY|12424|42.2469|-74.1353|250|Horticultural therapist|1962-08-10|846644562563|adults_50up_female_rural.json|229e9808ea8b7d917d24b0f7670c0cc7|2020-05-08|22:37:44|1588999064|misc_net|1023.70|1|fraud_Nader-Heller|41.714324|-74.311036
624-01-7599|4598125597772659763|Elizabeth|Dunn|F|580 Johnson Cliffs|East Jewett|NY|12424|42.2469|-74.1353|250|Horticultural therapist|1962-08-10|846644562563|adults_50up_female_rural.json|bdb101c6924fb7d637eb845d986ea41f|2020-05-09|23:30:53|1589088653|misc_net|838.18|1|fraud_Kunde-Sanford|41.577910|-74.382756
624-01-7599|4598125597772659763|Elizabeth|Dunn|F|580 Johnson Cliffs|East Jewett|NY|12424|42.2469|-74.1353|250|Horticultural therapist|1962-08-10|846644562563|adults_50up_female_rural.json|195d5c408aeb356c885495a5ed2c1113|2019-09-04|08:16:12|1567606572|misc_pos|79.73|0|fraud_Buckridge PLC|41.596465|-74.351338
624-01-7599|4598125597772659763|Elizabeth|Dunn|F|580 Johnson Cliffs|East Jewett|NY|12424|42.2469|-74.1353|250|Horticultural therapist|1962-08-10|846644562563|adults_50up_female_rural.json|ea6da3b5d5bb0de6e6c0dc8209643ee5|2019-07-27|05:47:41|1564228061|misc_net|57.04|0|fraud_Dooley-Thompson|42.503111|-74.692438
624-01-7599|4598125597772659763|Elizabeth|Dunn|F|580 Johnson Cliffs|East Jewett|NY|12424|42.2469|-74.1353|250|Horticultural therapist|1962-08-10|846644562563|adults_50up_female_rural.json|2152f1855fb10df0d394b6e26a3f7cc8|2019-11-23|11:17:54|1574533074|shopping_net|57.07|0|fraud_Auer-West|41.922366|-73.641844
