ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile
026-95-4507|4218196001337|Jonathan|Johnson|M|863 Lawrence Valleys|Rochester|NY|14623|43.0834|-77.6344|478127|Accounting technician|1986-08-29|888022315787|adults_2550_male_urban.json
433-44-4553|4511615594078163|Blake|Carter|M|310 Kendra Common Apt. 164|Tavares|FL|32778|28.801|-81.734|18617|Professor Emeritus|1968-02-28|917558277935|adults_50up_male_urban.json
380-46-3433|4192832764835035|Samantha|Trujillo|F|1395 Diana Locks Suite 242|Chula Vista|CA|91914|32.6588|-116.9652|239879|Fine artist|1986-07-04|617380026649|adults_2550_female_urban.json
765-75-7020|3553287101226916|Janice|Carlson|F|480 Erin Plain Suite 514|Charlotte|NC|28214|35.2731|-80.9571|790689|Presenter, broadcasting|1982-01-16|498895488714|adults_2550_female_urban.json
740-93-4316|213181489325283|Tiffany|Nielsen|F|570 Sarah Wells|West Babylon|NY|11704|40.7135|-73.3546|40222|Information systems manager|1989-01-31|61157982007|adults_2550_female_urban.json
581-11-1404|3518227824896383|Pedro|Vaughn|M|5787 John Circles Suite 098|Randolph|NJ|07869|40.8456|-74.5725|25291|Event organiser|1975-04-11|243045499634|adults_50up_male_urban.json
725-81-0965|4051834738295|Kenneth|Sanchez|M|3116 Henderson Mountain Apt. 106|Des Plaines|IL|60018|42.0155|-87.8687|89789|Librarian, academic|1990-03-09|948331323761|adults_2550_male_urban.json
197-25-8787|30262473178101|Matthew|Fernandez|M|32677 Michelle Circle|Leesburg|FL|34748|28.808|-81.8858|55765|Development worker, international aid|1957-11-05|1627677155|adults_50up_male_urban.json
272-59-4674|6523430980500973|Kathryn|Farrell|F|81219 Emma Freeway|Mesa|AZ|85210|33.3887|-111.8428|478404|Operations geologist|1959-09-03|626594012825|adults_50up_female_urban.json
609-06-1344|6543534624751078|Marc|Hart|M|83842 Ibarra Gardens|Malad City|ID|83252|42.1808|-112.262|4154|Merchant navy officer|1976-06-01|173022703378|adults_2550_male_urban.json
557-91-4957|3584124118244934|Mitchell|Harris|M|740 Cynthia Village Suite 005|Los Angeles|CA|90037|34.003|-118.2863|2383912|Conservator, furniture|1993-06-02|177218748445|adults_2550_male_urban.json
565-91-7008|213111280598267|Cameron|Parker|M|3315 Dickson Summit|Des Plaines|IL|60016|42.0467|-87.8859|89789|Designer, fashion/clothing|1968-04-25|950204551500|adults_50up_male_urban.json
820-23-6756|503856342160|Shelby|Garrison|F|75433 Donna Locks|Aurora|IL|60506|41.7664|-88.3446|206095|Land/geomatics surveyor|1951-03-26|950384363434|adults_50up_female_urban.json
792-36-5754|4850142940196556|Jeffrey|Joyce|M|9340 Smith Valley|East Elmhurst|NY|11369|40.7613|-73.8739|78303|Solicitor|1995-10-22|793224011429|adults_2550_male_urban.json
