ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
041-72-6348|213134764472643|Lisa|Brown|F|7181 Kimberly Square|Winnett|MT|59087|46.9438|-108.3184|436|Sports coach|2005-08-20|430077867350|young_adults_female_rural.json|8ceb4b8c9df06e98f40b82a947254915|2019-07-17|03:19:52|1563355192|grocery_pos|10.07|1|fraud_Rau and Sons|46.743784|-108.136869
041-72-6348|213134764472643|Lisa|Brown|F|7181 Kimberly Square|Winnett|MT|59087|46.9438|-108.3184|436|Sports coach|2005-08-20|430077867350|young_adults_female_rural.json|6430282035a53ea94e5b0c7d3eca0610|2019-07-17|03:10:19|1563354619|grocery_pos|298.91|1|fraud_Hudson-Ratke|47.674605|-107.915659
041-72-6348|213134764472643|Lisa|Brown|F|7181 Kimberly Square|Winnett|MT|59087|46.9438|-108.3184|436|Sports coach|2005-08-20|430077867350|young_adults_female_rural.json|3f53ea12e08d62835ea2331ecf0a3856|2019-07-17|02:42:15|1563352935|misc_net|285.00|1|fraud_Rodriguez, Yost and Jenkins|46.776244|-109.237826
041-72-6348|213134764472643|Lisa|Brown|F|7181 Kimberly Square|Winnett|MT|59087|46.9438|-108.3184|436|Sports coach|2005-08-20|430077867350|young_adults_female_rural.json|0d04f2eca9af832414eff3b0be221efb|2019-07-17|05:12:45|1563361965|grocery_pos|304.10|1|fraud_Schumm, Bauch and Ondricka|45.951534|-109.017111
041-72-6348|213134764472643|Lisa|Brown|F|7181 Kimberly Square|Winnett|MT|59087|46.9438|-108.3184|436|Sports coach|2005-08-20|430077867350|young_adults_female_rural.json|b1110617d259b7826f3f595affef4522|2019-07-17|02:40:13|1563352813|gas_transport|804.30|1|fraud_Koss and Sons|46.773373|-108.106203
041-72-6348|213134764472643|Lisa|Brown|F|7181 Kimberly Square|Winnett|MT|59087|46.9438|-108.3184|436|Sports coach|2005-08-20|430077867350|young_adults_female_rural.json|e756524e05cb0dbd6b9786e31cee5a05|2019-07-18|12:34:34|1563474874|shopping_pos|1013.68|1|fraud_Beier-Hyatt|47.298991|-107.454134
041-72-6348|213134764472643|Lisa|Brown|F|7181 Kimberly Square|Winnett|MT|59087|46.9438|-108.3184|436|Sports coach|2005-08-20|430077867350|young_adults_female_rural.json|f3dbb6fa71324722f5df3648dfbe5c82|2019-07-18|23:09:03|1563512943|shopping_net|909.27|1|fraud_Volkman-Predovic|47.792415|-108.607120
041-72-6348|213134764472643|Lisa|Brown|F|7181 Kimberly Square|Winnett|MT|59087|46.9438|-108.3184|436|Sports coach|2005-08-20|430077867350|young_adults_female_rural.json|40d7e35b7c7b0cf63b366851ba4501b4|2019-07-18|23:39:41|1563514781|shopping_pos|1048.87|1|fraud_Dooley Inc|46.427043|-107.426368
041-72-6348|213134764472643|Lisa|Brown|F|7181 Kimberly Square|Winnett|MT|59087|46.9438|-108.3184|436|Sports coach|2005-08-20|430077867350|young_adults_female_rural.json|ad51482e8bf70ad245cebc7d6d82c2a0|2019-07-18|23:51:08|1563515468|shopping_net|983.97|1|fraud_Gerlach Inc|46.262969|-107.913671
041-72-6348|213134764472643|Lisa|Brown|F|7181 Kimberly Square|Winnett|MT|59087|46.9438|-108.3184|436|Sports coach|2005-08-20|430077867350|young_adults_female_rural.json|08ad9d7176f202c60325c891560e6d59|2019-07-18|23:34:06|1563514446|shopping_net|1138.77|1|fraud_Labadie, Treutel and Bode|46.391975|-108.638923
041-72-6348|213134764472643|Lisa|Brown|F|7181 Kimberly Square|Winnett|MT|59087|46.9438|-108.3184|436|Sports coach|2005-08-20|430077867350|young_adults_female_rural.json|2ab036b9d4cbe67afd3c673a8ab6c72f|2019-07-18|22:26:56|1563510416|shopping_net|1296.71|1|fraud_Heathcote, Yost and Kertzmann|46.099912|-107.415848
041-72-6348|213134764472643|Lisa|Brown|F|7181 Kimberly Square|Winnett|MT|59087|46.9438|-108.3184|436|Sports coach|2005-08-20|430077867350|young_adults_female_rural.json|3336ceca83e71f0fdc2a5ecbe689e756|2019-07-18|18:06:22|1563494782|shopping_net|1123.29|1|fraud_Price Inc|46.804709|-107.429729
041-72-6348|213134764472643|Lisa|Brown|F|7181 Kimberly Square|Winnett|MT|59087|46.9438|-108.3184|436|Sports coach|2005-08-20|430077867350|young_adults_female_rural.json|85f1368b5d12994f209e420306d8dcca|2019-07-18|22:55:20|1563512120|shopping_pos|1148.44|1|fraud_Jast-McDermott|46.774259|-107.762725
041-72-6348|213134764472643|Lisa|Brown|F|7181 Kimberly Square|Winnett|MT|59087|46.9438|-108.3184|436|Sports coach|2005-08-20|430077867350|young_adults_female_rural.json|f491f8810b34bb90668aa16f68e2b281|2019-07-18|22:29:05|1563510545|shopping_pos|1129.36|1|fraud_Dooley Inc|47.794018|-108.598876
