ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
095-39-9960|501838502554|Amy|Bowen|F|4486 Taylor Place|Des Moines|IA|50316|41.6092|-93.6|222785|Social worker|2001-11-05|628047457681|young_adults_female_urban.json|b484df4d7150d715b7d06f204baaf986|2019-06-08|03:45:53|1559987153|grocery_pos|288.06|1|fraud_Kutch and Sons|42.356669|-93.290097
095-39-9960|501838502554|Amy|Bowen|F|4486 Taylor Place|Des Moines|IA|50316|41.6092|-93.6|222785|Social worker|2001-11-05|628047457681|young_adults_female_urban.json|843d84c2469dffc5100c8d80557d50bd|2019-06-08|03:51:53|1559987513|grocery_pos|303.94|1|fraud_Kiehn-Emmerich|41.969080|-93.610751
095-39-9960|501838502554|Amy|Bowen|F|4486 Taylor Place|Des Moines|IA|50316|41.6092|-93.6|222785|Social worker|2001-11-05|628047457681|young_adults_female_urban.json|bb21edb0900d60e20a4385f62a251f70|2019-06-08|03:28:12|1559986092|grocery_pos|307.97|1|fraud_Pacocha-O'Reilly|40.688559|-93.137805
095-39-9960|501838502554|Amy|Bowen|F|4486 Taylor Place|Des Moines|IA|50316|41.6092|-93.6|222785|Social worker|2001-11-05|628047457681|young_adults_female_urban.json|1289efc168bc86265b873dd2073c3f81|2019-06-08|00:21:22|1559974882|grocery_pos|295.69|1|fraud_Kovacek, Dibbert and Ondricka|40.998745|-93.506211
095-39-9960|501838502554|Amy|Bowen|F|4486 Taylor Place|Des Moines|IA|50316|41.6092|-93.6|222785|Social worker|2001-11-05|628047457681|young_adults_female_urban.json|bac076130ee204e46290f51485f8fad6|2019-06-09|23:13:18|1560143598|shopping_pos|1158.57|1|fraud_Watsica, Haag and Considine|42.440209|-93.259981
095-39-9960|501838502554|Amy|Bowen|F|4486 Taylor Place|Des Moines|IA|50316|41.6092|-93.6|222785|Social worker|2001-11-05|628047457681|young_adults_female_urban.json|44f173a9d2bac19f7f16c6fefc7fc7c2|2019-06-09|22:10:16|1560139816|personal_care|798.24|1|fraud_Bartoletti and Sons|41.264319|-94.187893
095-39-9960|501838502554|Amy|Bowen|F|4486 Taylor Place|Des Moines|IA|50316|41.6092|-93.6|222785|Social worker|2001-11-05|628047457681|young_adults_female_urban.json|a26de7194fb4712c3c2fadf731304ee0|2019-06-09|17:04:09|1560121449|shopping_net|787.43|1|fraud_Terry-Huel|42.494989|-94.377721
095-39-9960|501838502554|Amy|Bowen|F|4486 Taylor Place|Des Moines|IA|50316|41.6092|-93.6|222785|Social worker|2001-11-05|628047457681|young_adults_female_urban.json|d3517dfb8aa935e44895702853c40478|2019-06-09|12:44:03|1560105843|shopping_pos|884.38|1|fraud_Mohr Inc|41.412881|-93.550480
095-39-9960|501838502554|Amy|Bowen|F|4486 Taylor Place|Des Moines|IA|50316|41.6092|-93.6|222785|Social worker|2001-11-05|628047457681|young_adults_female_urban.json|8757b7bbf7bf8b8239881ec9a86e20b4|2019-06-09|21:35:11|1560137711|shopping_net|831.89|1|fraud_Kihn, Abernathy and Douglas|40.695601|-93.770358
095-39-9960|501838502554|Amy|Bowen|F|4486 Taylor Place|Des Moines|IA|50316|41.6092|-93.6|222785|Social worker|2001-11-05|628047457681|young_adults_female_urban.json|5cfb624106b7ec103172c10b5d2a15a0|2019-06-09|23:07:52|1560143272|shopping_pos|18.21|1|fraud_Weimann, Kuhic and Beahan|41.073654|-94.410186
174-32-2487|2284013153506965|Tracy|Lopez|F|8455 Yesenia Extensions|Saginaw|MI|48601|43.4047|-83.9156|135669|Research scientist (maths)|2002-01-09|342478946987|young_adults_female_urban.json|f8580c92639629c2d21d7ef5e6371b5b|2019-07-23|02:16:04|1563869764|gas_transport|12.49|1|fraud_Harris Inc|42.514481|-84.718522
174-32-2487|2284013153506965|Tracy|Lopez|F|8455 Yesenia Extensions|Saginaw|MI|48601|43.4047|-83.9156|135669|Research scientist (maths)|2002-01-09|342478946987|young_adults_female_urban.json|58b44a39d4d2975c6dad12a733427189|2019-07-23|01:19:56|1563866396|grocery_pos|9.84|1|fraud_Hackett-Lueilwitz|42.654837|-84.566464
174-32-2487|2284013153506965|Tracy|Lopez|F|8455 Yesenia Extensions|Saginaw|MI|48601|43.4047|-83.9156|135669|Research scientist (maths)|2002-01-09|342478946987|young_adults_female_urban.json|fcaeb99abcf535c62c2c9e31fe6b7ff3|2019-07-23|00:58:25|1563865105|gas_transport|312.05|1|fraud_Bartoletti-Wunsch|42.860845|-83.308293
174-32-2487|2284013153506965|Tracy|Lopez|F|8455 Yesenia Extensions|Saginaw|MI|48601|43.4047|-83.9156|135669|Research scientist (maths)|2002-01-09|342478946987|young_adults_female_urban.json|b4ffb0bc517fd92faa456c48bd08af75|2019-07-23|02:06:09|1563869169|grocery_pos|298.08|1|fraud_Kovacek, Dibbert and Ondricka|43.507611|-83.877285
174-32-2487|2284013153506965|Tracy|Lopez|F|8455 Yesenia Extensions|Saginaw|MI|48601|43.4047|-83.9156|135669|Research scientist (maths)|2002-01-09|342478946987|young_adults_female_urban.json|d3b035491085dee810cf4d7e60e8044a|2019-07-23|00:00:02|1563861602|grocery_pos|301.25|1|fraud_Kovacek, Dibbert and Ondricka|43.521452|-84.406597
174-32-2487|2284013153506965|Tracy|Lopez|F|8455 Yesenia Extensions|Saginaw|MI|48601|43.4047|-83.9156|135669|Research scientist (maths)|2002-01-09|342478946987|young_adults_female_urban.json|12d59d64ecfac66f99f255b13ade0ab0|2019-07-24|23:03:53|1564031033|misc_net|826.10|1|fraud_Schmitt Ltd|42.711148|-83.598045
174-32-2487|2284013153506965|Tracy|Lopez|F|8455 Yesenia Extensions|Saginaw|MI|48601|43.4047|-83.9156|135669|Research scientist (maths)|2002-01-09|342478946987|young_adults_female_urban.json|a251e0f43bf3822ca01e590a32e98fdd|2019-07-24|23:39:28|1564033168|shopping_pos|856.69|1|fraud_Denesik and Sons|43.865972|-84.556690
174-32-2487|2284013153506965|Tracy|Lopez|F|8455 Yesenia Extensions|Saginaw|MI|48601|43.4047|-83.9156|135669|Research scientist (maths)|2002-01-09|342478946987|young_adults_female_urban.json|e68b89228371ccf938c1a754666f88a8|2019-07-24|22:20:05|1564028405|shopping_net|975.43|1|fraud_Kerluke-Abshire|42.769622|-83.078166
174-32-2487|2284013153506965|Tracy|Lopez|F|8455 Yesenia Extensions|Saginaw|MI|48601|43.4047|-83.9156|135669|Research scientist (maths)|2002-01-09|342478946987|young_adults_female_urban.json|a21a878dd782cab6a12777c8b5edefd1|2019-07-24|23:29:14|1564032554|travel|919.32|1|fraud_Turner LLC|42.730474|-83.543415
174-32-2487|2284013153506965|Tracy|Lopez|F|8455 Yesenia Extensions|Saginaw|MI|48601|43.4047|-83.9156|135669|Research scientist (maths)|2002-01-09|342478946987|young_adults_female_urban.json|0819e8290a74bfd31f50c2aba0dcd224|2019-07-24|23:55:48|1564034148|shopping_net|793.90|1|fraud_Baumbach, Feeney and Morar|43.392027|-83.684286
174-32-2487|2284013153506965|Tracy|Lopez|F|8455 Yesenia Extensions|Saginaw|MI|48601|43.4047|-83.9156|135669|Research scientist (maths)|2002-01-09|342478946987|young_adults_female_urban.json|2a15892ace82a18a2f572ffae277d74a|2019-07-24|12:16:10|1563992170|misc_net|11.69|1|fraud_Schmitt Ltd|43.512128|-83.703497
