ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
336-51-6356|4138850342365|Christopher|Lambert|M|33474 Joseph Fords|Perry|AR|72125|35.0443|-92.7958|905|Clinical cytogeneticist|2005-10-04|330792868853|young_adults_male_rural.json|d8fc32a0112e9d2204697b4c80fb5961|2020-08-04|03:50:13|1596534613|grocery_pos|9.66|1|fraud_Goodwin-Nitzsche|35.990192|-91.903260
336-51-6356|4138850342365|Christopher|Lambert|M|33474 Joseph Fords|Perry|AR|72125|35.0443|-92.7958|905|Clinical cytogeneticist|2005-10-04|330792868853|young_adults_male_rural.json|83eb0eb638804abeb295c42e44f3b0fd|2020-08-04|00:49:37|1596523777|gas_transport|10.27|1|fraud_Marks Inc|35.866298|-93.435063
336-51-6356|4138850342365|Christopher|Lambert|M|33474 Joseph Fords|Perry|AR|72125|35.0443|-92.7958|905|Clinical cytogeneticist|2005-10-04|330792868853|young_adults_male_rural.json|220343838d6287edc34e975e82bb48e0|2020-08-04|03:52:23|1596534743|grocery_pos|302.88|1|fraud_Kunze Inc|35.127583|-92.911775
336-51-6356|4138850342365|Christopher|Lambert|M|33474 Joseph Fords|Perry|AR|72125|35.0443|-92.7958|905|Clinical cytogeneticist|2005-10-04|330792868853|young_adults_male_rural.json|e095331c0d41656d0c7eb2af4042d56f|2020-08-04|01:03:26|1596524606|grocery_pos|271.15|1|fraud_Strosin-Cruickshank|35.951762|-91.814836
336-51-6356|4138850342365|Christopher|Lambert|M|33474 Joseph Fords|Perry|AR|72125|35.0443|-92.7958|905|Clinical cytogeneticist|2005-10-04|330792868853|young_adults_male_rural.json|8e65e88da42da26407fd8e615afc0655|2020-08-04|00:10:49|1596521449|grocery_pos|290.19|1|fraud_Heller, Gutmann and Zieme|35.452519|-92.788659
336-51-6356|4138850342365|Christopher|Lambert|M|33474 Joseph Fords|Perry|AR|72125|35.0443|-92.7958|905|Clinical cytogeneticist|2005-10-04|330792868853|young_adults_male_rural.json|603bae0ba5cc58ab6c961e809277700d|2020-08-04|01:21:57|1596525717|grocery_pos|291.43|1|fraud_Kiehn Inc|34.660135|-93.652292
336-51-6356|4138850342365|Christopher|Lambert|M|33474 Joseph Fords|Perry|AR|72125|35.0443|-92.7958|905|Clinical cytogeneticist|2005-10-04|330792868853|young_adults_male_rural.json|19414ed2f993869c285b6f4b829e0412|2020-08-04|00:21:28|1596522088|grocery_net|285.77|1|fraud_Cassin-Harvey|35.223273|-93.760381
336-51-6356|4138850342365|Christopher|Lambert|M|33474 Joseph Fords|Perry|AR|72125|35.0443|-92.7958|905|Clinical cytogeneticist|2005-10-04|330792868853|young_adults_male_rural.json|fadd236eb95988468ade6beea0c075bb|2020-08-05|23:04:47|1596690287|shopping_net|846.81|1|fraud_Boyer PLC|34.782566|-93.441016
336-51-6356|4138850342365|Christopher|Lambert|M|33474 Joseph Fords|Perry|AR|72125|35.0443|-92.7958|905|Clinical cytogeneticist|2005-10-04|330792868853|young_adults_male_rural.json|abad065712efdcc054e3741684cb2ef2|2020-08-05|22:57:15|1596689835|shopping_net|755.36|1|fraud_Bashirian Group|35.495694|-93.138587
336-51-6356|4138850342365|Christopher|Lambert|M|33474 Joseph Fords|Perry|AR|72125|35.0443|-92.7958|905|Clinical cytogeneticist|2005-10-04|330792868853|young_adults_male_rural.json|af3bc1b61f34e2f5a0ffaabdafe8a595|2020-08-05|19:28:46|1596677326|misc_net|1065.42|1|fraud_Dooley-Thompson|34.322668|-93.470952
336-51-6356|4138850342365|Christopher|Lambert|M|33474 Joseph Fords|Perry|AR|72125|35.0443|-92.7958|905|Clinical cytogeneticist|2005-10-04|330792868853|young_adults_male_rural.json|b5694c7a2cfee5c7170e520819d1e7f0|2020-08-05|23:12:30|1596690750|shopping_net|875.82|1|fraud_Kerluke-Abshire|35.127105|-92.072535
336-51-6356|4138850342365|Christopher|Lambert|M|33474 Joseph Fords|Perry|AR|72125|35.0443|-92.7958|905|Clinical cytogeneticist|2005-10-04|330792868853|young_adults_male_rural.json|61e3829eff1d95eea71dd766b332d126|2020-08-05|22:09:41|1596686981|shopping_net|1012.40|1|fraud_Kuhic, Bins and Pfeffer|35.090777|-93.392597
336-51-6356|4138850342365|Christopher|Lambert|M|33474 Joseph Fords|Perry|AR|72125|35.0443|-92.7958|905|Clinical cytogeneticist|2005-10-04|330792868853|young_adults_male_rural.json|75726c02061f3c15c2c90aee0ea21c45|2020-08-04|13:20:17|1596568817|misc_net|983.29|1|fraud_Klocko LLC|35.120532|-93.678651
336-51-6356|4138850342365|Christopher|Lambert|M|33474 Joseph Fords|Perry|AR|72125|35.0443|-92.7958|905|Clinical cytogeneticist|2005-10-04|330792868853|young_adults_male_rural.json|a121b8fa1b7a4e5114de46e022f500ac|2020-08-05|22:25:23|1596687923|shopping_net|1117.97|1|fraud_Mosciski, Ziemann and Farrell|34.800285|-93.198459
336-51-6356|4138850342365|Christopher|Lambert|M|33474 Joseph Fords|Perry|AR|72125|35.0443|-92.7958|905|Clinical cytogeneticist|2005-10-04|330792868853|young_adults_male_rural.json|0faddd693b73518c7689cf9cd6d67a04|2020-08-05|18:47:23|1596674843|shopping_net|915.53|1|fraud_Heathcote LLC|35.793480|-93.491200
336-51-6356|4138850342365|Christopher|Lambert|M|33474 Joseph Fords|Perry|AR|72125|35.0443|-92.7958|905|Clinical cytogeneticist|2005-10-04|330792868853|young_adults_male_rural.json|56df4d1fff09c34bebefb35310a10832|2020-08-05|23:45:50|1596692750|shopping_net|1158.90|1|fraud_Predovic Inc|35.175654|-93.581818
336-51-6356|4138850342365|Christopher|Lambert|M|33474 Joseph Fords|Perry|AR|72125|35.0443|-92.7958|905|Clinical cytogeneticist|2005-10-04|330792868853|young_adults_male_rural.json|c12beba6cbc86f203ce6a2cb3bc1d6d3|2020-08-05|23:18:46|1596691126|shopping_pos|874.13|1|fraud_Willms, Kris and Bergnaum|34.884611|-92.556962
