ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
422-31-2860|3592791456083312|William|Davila|M|837 Joshua Fields Apt. 277|Lewisville|TX|75067|33.0198|-96.9925|109212|Editor, commissioning|2003-08-18|735125569840|young_adults_male_urban.json|22193f0f23c518848b7374bee69e6cc7|2019-01-06|01:34:32|1546763672|grocery_pos|9.66|1|fraud_Deckow-O'Conner|33.120722|-97.456838
422-31-2860|3592791456083312|William|Davila|M|837 Joshua Fields Apt. 277|Lewisville|TX|75067|33.0198|-96.9925|109212|Editor, commissioning|2003-08-18|735125569840|young_adults_male_urban.json|79d934f7479e12c3e90373591641847e|2019-01-06|06:24:16|1546781056|gas_transport|8.54|1|fraud_Stroman, Hudson and Erdman|32.852795|-96.225252
422-31-2860|3592791456083312|William|Davila|M|837 Joshua Fields Apt. 277|Lewisville|TX|75067|33.0198|-96.9925|109212|Editor, commissioning|2003-08-18|735125569840|young_adults_male_urban.json|397c85d517eaf994a4cd896695acdda8|2019-01-06|06:08:11|1546780091|misc_net|309.86|1|fraud_Zemlak Group|33.336759|-97.852997
422-31-2860|3592791456083312|William|Davila|M|837 Joshua Fields Apt. 277|Lewisville|TX|75067|33.0198|-96.9925|109212|Editor, commissioning|2003-08-18|735125569840|young_adults_male_urban.json|929a1bbc817aea7684d1489729a7c8da|2019-01-06|01:07:54|1546762074|grocery_net|299.49|1|fraud_Skiles-Ankunding|32.408944|-97.072119
422-31-2860|3592791456083312|William|Davila|M|837 Joshua Fields Apt. 277|Lewisville|TX|75067|33.0198|-96.9925|109212|Editor, commissioning|2003-08-18|735125569840|young_adults_male_urban.json|158533d957ae43dfe17dfe014b0e8f11|2019-01-06|08:32:49|1546788769|grocery_pos|285.42|1|fraud_Cole PLC|33.179791|-97.564538
422-31-2860|3592791456083312|William|Davila|M|837 Joshua Fields Apt. 277|Lewisville|TX|75067|33.0198|-96.9925|109212|Editor, commissioning|2003-08-18|735125569840|young_adults_male_urban.json|5ae199b5b9088453727254e6546bf355|2019-01-06|07:50:31|1546786231|grocery_pos|314.85|1|fraud_Wolf Inc|32.285309|-96.749563
422-31-2860|3592791456083312|William|Davila|M|837 Joshua Fields Apt. 277|Lewisville|TX|75067|33.0198|-96.9925|109212|Editor, commissioning|2003-08-18|735125569840|young_adults_male_urban.json|b07a34618dcb70bfd3f78b4f97502b94|2019-01-06|00:09:35|1546758575|grocery_pos|299.23|1|fraud_Huel, Hammes and Witting|33.783800|-97.353911
422-31-2860|3592791456083312|William|Davila|M|837 Joshua Fields Apt. 277|Lewisville|TX|75067|33.0198|-96.9925|109212|Editor, commissioning|2003-08-18|735125569840|young_adults_male_urban.json|9e0c7b1941d1ec590175848eb4ac0fe2|2019-01-06|03:28:30|1546770510|grocery_pos|321.81|1|fraud_Hackett-Lueilwitz|33.570598|-97.524005
422-31-2860|3592791456083312|William|Davila|M|837 Joshua Fields Apt. 277|Lewisville|TX|75067|33.0198|-96.9925|109212|Editor, commissioning|2003-08-18|735125569840|young_adults_male_urban.json|172812b4ebdb3588c0b5a81771328f07|2019-01-06|04:02:57|1546772577|grocery_pos|844.79|1|fraud_O'Keefe-Hudson|32.129374|-97.012781
422-31-2860|3592791456083312|William|Davila|M|837 Joshua Fields Apt. 277|Lewisville|TX|75067|33.0198|-96.9925|109212|Editor, commissioning|2003-08-18|735125569840|young_adults_male_urban.json|6747b0d8f4e3dc00eceeaf05e9b3fb60|2019-01-06|15:49:31|1546814971|shopping_net|990.01|1|fraud_Boyer PLC|33.059452|-96.034057
422-31-2860|3592791456083312|William|Davila|M|837 Joshua Fields Apt. 277|Lewisville|TX|75067|33.0198|-96.9925|109212|Editor, commissioning|2003-08-18|735125569840|young_adults_male_urban.json|17bd3e6538e125c721d73edb7701790e|2019-01-06|22:28:09|1546838889|shopping_net|1010.64|1|fraud_Heathcote, Yost and Kertzmann|33.795037|-97.226527
422-31-2860|3592791456083312|William|Davila|M|837 Joshua Fields Apt. 277|Lewisville|TX|75067|33.0198|-96.9925|109212|Editor, commissioning|2003-08-18|735125569840|young_adults_male_urban.json|af3fc459cb314aa10807df848a4ea1f6|2019-01-06|22:54:11|1546840451|shopping_net|846.79|1|fraud_Stanton, Jakubowski and Baumbach|32.873765|-97.006760
422-31-2860|3592791456083312|William|Davila|M|837 Joshua Fields Apt. 277|Lewisville|TX|75067|33.0198|-96.9925|109212|Editor, commissioning|2003-08-18|735125569840|young_adults_male_urban.json|100a5b6de3287c6f70e2ea71967c42f6|2019-01-07|22:11:31|1546924291|shopping_pos|986.43|1|fraud_Botsford Ltd|33.243122|-97.442941
422-31-2860|3592791456083312|William|Davila|M|837 Joshua Fields Apt. 277|Lewisville|TX|75067|33.0198|-96.9925|109212|Editor, commissioning|2003-08-18|735125569840|young_adults_male_urban.json|314bef7fa61c57d282c51f86f2cefd8e|2019-01-07|23:13:33|1546928013|travel|822.07|1|fraud_Kilback, Nitzsche and Leffler|32.626247|-96.151328
422-31-2860|3592791456083312|William|Davila|M|837 Joshua Fields Apt. 277|Lewisville|TX|75067|33.0198|-96.9925|109212|Editor, commissioning|2003-08-18|735125569840|young_adults_male_urban.json|94a912f78dddd978df676d8e1e239b4e|2019-01-06|22:32:40|1546839160|shopping_net|8.53|1|fraud_Kuhic, Bins and Pfeffer|32.404132|-97.959422
422-31-2860|3592791456083312|William|Davila|M|837 Joshua Fields Apt. 277|Lewisville|TX|75067|33.0198|-96.9925|109212|Editor, commissioning|2003-08-18|735125569840|young_adults_male_urban.json|7f558da982f4d51de608d4a5e815c807|2019-04-20|06:03:47|1555761827|gas_transport|74.42|0|fraud_Mraz-Herzog|33.570025|-97.463734
422-31-2860|3592791456083312|William|Davila|M|837 Joshua Fields Apt. 277|Lewisville|TX|75067|33.0198|-96.9925|109212|Editor, commissioning|2003-08-18|735125569840|young_adults_male_urban.json|1eda94460dfec692a4f8b6a9318ae3a2|2019-06-11|01:55:42|1560239742|grocery_pos|83.80|0|fraud_Kiehn-Emmerich|33.530551|-96.447790
422-31-2860|3592791456083312|William|Davila|M|837 Joshua Fields Apt. 277|Lewisville|TX|75067|33.0198|-96.9925|109212|Editor, commissioning|2003-08-18|735125569840|young_adults_male_urban.json|b4417a9658548cfd111809e98937c4a8|2019-02-27|02:33:41|1551260021|gas_transport|49.95|0|fraud_Tillman, Dickinson and Labadie|33.877289|-97.190018
422-31-2860|3592791456083312|William|Davila|M|837 Joshua Fields Apt. 277|Lewisville|TX|75067|33.0198|-96.9925|109212|Editor, commissioning|2003-08-18|735125569840|young_adults_male_urban.json|59a44d9532d8a3cc0b6c8bffc1b75c39|2019-04-14|05:24:27|1555241067|gas_transport|55.06|0|fraud_Connelly, Reichert and Fritsch|32.165476|-97.989729
422-31-2860|3592791456083312|William|Davila|M|837 Joshua Fields Apt. 277|Lewisville|TX|75067|33.0198|-96.9925|109212|Editor, commissioning|2003-08-18|735125569840|young_adults_male_urban.json|1f76216bca72d10a53111da24e64cb04|2019-02-14|10:45:55|1550166355|gas_transport|53.55|0|fraud_Eichmann, Bogan and Rodriguez|33.860590|-97.884442
422-31-2860|3592791456083312|William|Davila|M|837 Joshua Fields Apt. 277|Lewisville|TX|75067|33.0198|-96.9925|109212|Editor, commissioning|2003-08-18|735125569840|young_adults_male_urban.json|26acf60b9a9e52573176d4db92f0d3d9|2019-05-26|02:46:18|1558860378|grocery_net|73.56|0|fraud_Runolfsson and Sons|33.625845|-97.646543
422-31-2860|3592791456083312|William|Davila|M|837 Joshua Fields Apt. 277|Lewisville|TX|75067|33.0198|-96.9925|109212|Editor, commissioning|2003-08-18|735125569840|young_adults_male_urban.json|a25d431f3071c2782f7ae47afc043b36|2019-05-29|08:06:15|1559138775|grocery_net|49.34|0|fraud_Roob LLC|33.507022|-97.063971
422-31-2860|3592791456083312|William|Davila|M|837 Joshua Fields Apt. 277|Lewisville|TX|75067|33.0198|-96.9925|109212|Editor, commissioning|2003-08-18|735125569840|young_adults_male_urban.json|8caa473c11385870b206ecc6797b77e7|2019-04-15|11:32:48|1555349568|gas_transport|56.51|0|fraud_Friesen-Stamm|33.679099|-96.626413
422-31-2860|3592791456083312|William|Davila|M|837 Joshua Fields Apt. 277|Lewisville|TX|75067|33.0198|-96.9925|109212|Editor, commissioning|2003-08-18|735125569840|young_adults_male_urban.json|58daf7e2eced98ed9a9750351183bc85|2019-01-31|04:10:18|1548933018|gas_transport|80.20|0|fraud_Bartoletti-Wunsch|33.170592|-97.466854
422-31-2860|3592791456083312|William|Davila|M|837 Joshua Fields Apt. 277|Lewisville|TX|75067|33.0198|-96.9925|109212|Editor, commissioning|2003-08-18|735125569840|young_adults_male_urban.json|baa3c6947ea016849dcfbc7bf386d929|2019-04-01|03:44:44|1554111884|gas_transport|99.02|0|fraud_Kutch, Hermiston and Farrell|33.795628|-96.025339
422-31-2860|3592791456083312|William|Davila|M|837 Joshua Fields Apt. 277|Lewisville|TX|75067|33.0198|-96.9925|109212|Editor, commissioning|2003-08-18|735125569840|young_adults_male_urban.json|df261f0d243382f7c6e3e376a98e25e5|2019-03-19|04:55:21|1552992921|gas_transport|63.00|0|fraud_Bins-Rice|33.277038|-97.822855
422-31-2860|3592791456083312|William|Davila|M|837 Joshua Fields Apt. 277|Lewisville|TX|75067|33.0198|-96.9925|109212|Editor, commissioning|2003-08-18|735125569840|young_adults_male_urban.json|8094b5adb80e79ac53f036443eade2a4|2019-02-23|05:06:23|1550923583|gas_transport|60.89|0|fraud_Cummerata-Jones|33.883370|-96.450596
422-31-2860|3592791456083312|William|Davila|M|837 Joshua Fields Apt. 277|Lewisville|TX|75067|33.0198|-96.9925|109212|Editor, commissioning|2003-08-18|735125569840|young_adults_male_urban.json|2a4ee1efd5a4ab54b51919078717a65d|2019-05-18|06:46:23|1558183583|grocery_net|76.65|0|fraud_Shields Inc|32.449495|-97.523462
422-31-2860|3592791456083312|William|Davila|M|837 Joshua Fields Apt. 277|Lewisville|TX|75067|33.0198|-96.9925|109212|Editor, commissioning|2003-08-18|735125569840|young_adults_male_urban.json|f5d8b91d2b6f68f29da3a336533ba761|2019-03-09|10:54:41|1552154081|gas_transport|33.89|0|fraud_Sporer Inc|32.045868|-97.350587
422-31-2860|3592791456083312|William|Davila|M|837 Joshua Fields Apt. 277|Lewisville|TX|75067|33.0198|-96.9925|109212|Editor, commissioning|2003-08-18|735125569840|young_adults_male_urban.json|36c80d9056cf604ea265b0e1715ca6dd|2019-01-31|10:03:08|1548954188|gas_transport|60.74|0|fraud_Raynor, Feest and Miller|33.673159|-97.789100
422-31-2860|3592791456083312|William|Davila|M|837 Joshua Fields Apt. 277|Lewisville|TX|75067|33.0198|-96.9925|109212|Editor, commissioning|2003-08-18|735125569840|young_adults_male_urban.json|68c82e28fe2273ea49c791e8449c47d0|2019-04-07|03:17:32|1554628652|gas_transport|59.92|0|fraud_Greenholt, Jacobi and Gleason|33.687181|-96.148985
422-31-2860|3592791456083312|William|Davila|M|837 Joshua Fields Apt. 277|Lewisville|TX|75067|33.0198|-96.9925|109212|Editor, commissioning|2003-08-18|735125569840|young_adults_male_urban.json|634e6c66a94df276f24f522e225fc4ac|2019-05-18|04:06:28|1558173988|grocery_net|42.74|0|fraud_Smitham-Schiller|33.910521|-96.039001
