ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
600-51-2766|213122501825629|Nicole|Zhang|F|86394 Debbie Course Apt. 234|West Hamlin|WV|25571|38.2886|-82.1843|2206|Chartered loss adjuster|1996-02-01|624004947232|adults_2550_female_rural.json|5e3ac89343454dc79a514d5301262db7|2019-12-27|10:04:14|1577466254|shopping_net|361.69|1|fraud_Gottlieb, Considine and Schultz|37.498374|-82.867992
600-51-2766|213122501825629|Nicole|Zhang|F|86394 Debbie Course Apt. 234|West Hamlin|WV|25571|38.2886|-82.1843|2206|Chartered loss adjuster|1996-02-01|624004947232|adults_2550_female_rural.json|4a3e3d3eb2e246ac59c7a1e84a3fc385|2019-12-27|02:12:04|1577437924|grocery_pos|362.91|1|fraud_Stracke-Lemke|38.261551|-81.789947
600-51-2766|213122501825629|Nicole|Zhang|F|86394 Debbie Course Apt. 234|West Hamlin|WV|25571|38.2886|-82.1843|2206|Chartered loss adjuster|1996-02-01|624004947232|adults_2550_female_rural.json|e4de928e8697463de6a20a9547ca3423|2019-12-27|03:53:59|1577444039|shopping_net|376.52|1|fraud_Goyette Inc|37.349321|-81.512184
600-51-2766|213122501825629|Nicole|Zhang|F|86394 Debbie Course Apt. 234|West Hamlin|WV|25571|38.2886|-82.1843|2206|Chartered loss adjuster|1996-02-01|624004947232|adults_2550_female_rural.json|b55b18a48d4529b7f92a596f748d6b1d|2019-12-27|02:19:29|1577438369|grocery_pos|1045.67|1|fraud_Koepp-Witting|38.298574|-82.058006
600-51-2766|213122501825629|Nicole|Zhang|F|86394 Debbie Course Apt. 234|West Hamlin|WV|25571|38.2886|-82.1843|2206|Chartered loss adjuster|1996-02-01|624004947232|adults_2550_female_rural.json|020518f3453a6d2aa647f8095dce24c0|2019-12-27|02:38:30|1577439510|shopping_net|911.43|1|fraud_Romaguera, Cruickshank and Greenholt|39.076045|-82.120656
600-51-2766|213122501825629|Nicole|Zhang|F|86394 Debbie Course Apt. 234|West Hamlin|WV|25571|38.2886|-82.1843|2206|Chartered loss adjuster|1996-02-01|624004947232|adults_2550_female_rural.json|93ae2d604fa18b69c18a1b20190cea40|2019-12-27|09:00:25|1577462425|shopping_pos|963.65|1|fraud_Denesik and Sons|39.283465|-83.127432
600-51-2766|213122501825629|Nicole|Zhang|F|86394 Debbie Course Apt. 234|West Hamlin|WV|25571|38.2886|-82.1843|2206|Chartered loss adjuster|1996-02-01|624004947232|adults_2550_female_rural.json|b9bbac3adb268fc84a00ac3f33e02554|2019-12-27|02:47:41|1577440061|grocery_pos|1099.67|1|fraud_McDermott-Weimann|37.518905|-82.090020
600-51-2766|213122501825629|Nicole|Zhang|F|86394 Debbie Course Apt. 234|West Hamlin|WV|25571|38.2886|-82.1843|2206|Chartered loss adjuster|1996-02-01|624004947232|adults_2550_female_rural.json|16a8fe567ee8096b0105c22c57f592ea|2019-12-28|23:43:16|1577601796|food_dining|119.10|1|fraud_Weber and Sons|38.991457|-83.175005
600-51-2766|213122501825629|Nicole|Zhang|F|86394 Debbie Course Apt. 234|West Hamlin|WV|25571|38.2886|-82.1843|2206|Chartered loss adjuster|1996-02-01|624004947232|adults_2550_female_rural.json|e57ca552672963a856e5a2852a40d209|2019-12-28|22:49:37|1577598577|kids_pets|263.41|1|fraud_Hauck, Dietrich and Funk|37.759975|-81.598772
600-51-2766|213122501825629|Nicole|Zhang|F|86394 Debbie Course Apt. 234|West Hamlin|WV|25571|38.2886|-82.1843|2206|Chartered loss adjuster|1996-02-01|624004947232|adults_2550_female_rural.json|b08874a191e4fa007bcd93753d6ef0f8|2019-12-28|22:57:02|1577599022|personal_care|20.53|1|fraud_Abbott-Steuber|38.720133|-81.755639
