ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
027-53-9023|4539101612599|Alexander|Morales|M|949 Kathleen Common|Huxford|AL|36543|31.2161|-87.4615|66|Engineer, broadcasting (operations)|2000-10-14|254375543031|adults_2550_male_rural.json|c8e743b3ee36173a217243cd4ec118a0|2020-08-08|03:11:15|1596877875|gas_transport|11.78|1|fraud_Tillman, Dickinson and Labadie|30.225479|-88.175251
027-53-9023|4539101612599|Alexander|Morales|M|949 Kathleen Common|Huxford|AL|36543|31.2161|-87.4615|66|Engineer, broadcasting (operations)|2000-10-14|254375543031|adults_2550_male_rural.json|b7f00c662a4049dc456cb302fc70f8aa|2020-08-08|01:55:52|1596873352|gas_transport|8.60|1|fraud_Harris Inc|30.686756|-87.503359
027-53-9023|4539101612599|Alexander|Morales|M|949 Kathleen Common|Huxford|AL|36543|31.2161|-87.4615|66|Engineer, broadcasting (operations)|2000-10-14|254375543031|adults_2550_male_rural.json|6a49615e3a3f575a11296690ddf9d0a0|2020-08-08|23:39:21|1596951561|grocery_pos|296.52|1|fraud_Huel, Hammes and Witting|31.448918|-87.544602
027-53-9023|4539101612599|Alexander|Morales|M|949 Kathleen Common|Huxford|AL|36543|31.2161|-87.4615|66|Engineer, broadcasting (operations)|2000-10-14|254375543031|adults_2550_male_rural.json|f48c946411299ff02e06a686d5033a63|2020-08-09|22:53:50|1597035230|shopping_net|794.90|1|fraud_Gleason-Macejkovic|31.999426|-87.908341
027-53-9023|4539101612599|Alexander|Morales|M|949 Kathleen Common|Huxford|AL|36543|31.2161|-87.4615|66|Engineer, broadcasting (operations)|2000-10-14|254375543031|adults_2550_male_rural.json|6ef5e51ba954aee6c77c6db1a8e6416b|2020-08-09|22:43:27|1597034607|entertainment|951.32|1|fraud_Douglas-White|31.723176|-87.264191
027-53-9023|4539101612599|Alexander|Morales|M|949 Kathleen Common|Huxford|AL|36543|31.2161|-87.4615|66|Engineer, broadcasting (operations)|2000-10-14|254375543031|adults_2550_male_rural.json|5fa3f68d3f46f9daf64993b2b4dd25fe|2020-08-09|22:14:12|1597032852|shopping_net|1045.30|1|fraud_Price Inc|30.775199|-87.978817
027-53-9023|4539101612599|Alexander|Morales|M|949 Kathleen Common|Huxford|AL|36543|31.2161|-87.4615|66|Engineer, broadcasting (operations)|2000-10-14|254375543031|adults_2550_male_rural.json|a8f6981b5785fdb29d01f4081ccbd52e|2020-08-09|22:01:04|1597032064|misc_net|921.25|1|fraud_Ruecker Group|30.319873|-87.344006
027-53-9023|4539101612599|Alexander|Morales|M|949 Kathleen Common|Huxford|AL|36543|31.2161|-87.4615|66|Engineer, broadcasting (operations)|2000-10-14|254375543031|adults_2550_male_rural.json|69bd47d644388fb893d80b8fd132d749|2020-08-09|13:30:59|1597001459|shopping_net|1115.27|1|fraud_Lemke-Gutmann|31.417908|-88.244162
027-53-9023|4539101612599|Alexander|Morales|M|949 Kathleen Common|Huxford|AL|36543|31.2161|-87.4615|66|Engineer, broadcasting (operations)|2000-10-14|254375543031|adults_2550_male_rural.json|d4ba00cb659c7d868aa3a3f7208876f5|2020-08-09|23:37:59|1597037879|shopping_net|520.47|1|fraud_Medhurst PLC|30.679522|-86.707017
027-53-9023|4539101612599|Alexander|Morales|M|949 Kathleen Common|Huxford|AL|36543|31.2161|-87.4615|66|Engineer, broadcasting (operations)|2000-10-14|254375543031|adults_2550_male_rural.json|0bd02453dcae495f7f284fd4717f3e36|2019-04-15|09:45:06|1555343106|grocery_pos|68.24|0|fraud_Kilback LLC|31.402212|-87.555098
