ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
537-67-6468|213141869303268|Ryan|Pena|M|9674 Brianna Corner Suite 053|Deary|ID|83823|46.8061|-116.5238|1318|Transport planner|1963-05-07|24402847841|adults_50up_male_rural.json|350e508ee3910753f712cec111078706|2020-10-04|02:45:11|1601801111|gas_transport|21.80|1|fraud_Christiansen, Goyette and Schamberger|45.940635|-116.804275
537-67-6468|213141869303268|Ryan|Pena|M|9674 Brianna Corner Suite 053|Deary|ID|83823|46.8061|-116.5238|1318|Transport planner|1963-05-07|24402847841|adults_50up_male_rural.json|4ea56b570719070e0aa203b05df1fc98|2020-10-04|00:31:36|1601793096|gas_transport|20.63|1|fraud_Christiansen, Goyette and Schamberger|46.580744|-117.044782
537-67-6468|213141869303268|Ryan|Pena|M|9674 Brianna Corner Suite 053|Deary|ID|83823|46.8061|-116.5238|1318|Transport planner|1963-05-07|24402847841|adults_50up_male_rural.json|804033709028b39e7366979f54aeceb4|2020-10-04|00:12:21|1601791941|grocery_pos|337.01|1|fraud_Doyle Ltd|45.859457|-117.257338
537-67-6468|213141869303268|Ryan|Pena|M|9674 Brianna Corner Suite 053|Deary|ID|83823|46.8061|-116.5238|1318|Transport planner|1963-05-07|24402847841|adults_50up_male_rural.json|7c9fec4420c64bd7d01aeca17f9e7abd|2020-10-04|14:17:15|1601842635|grocery_pos|298.17|1|fraud_Cartwright-Harris|46.840527|-115.834908
537-67-6468|213141869303268|Ryan|Pena|M|9674 Brianna Corner Suite 053|Deary|ID|83823|46.8061|-116.5238|1318|Transport planner|1963-05-07|24402847841|adults_50up_male_rural.json|436851b2f340662cebe7f84c65fe8c9f|2020-10-04|23:30:53|1601875853|misc_net|655.99|1|fraud_Jones, Sawayn and Romaguera|47.307846|-115.820468
537-67-6468|213141869303268|Ryan|Pena|M|9674 Brianna Corner Suite 053|Deary|ID|83823|46.8061|-116.5238|1318|Transport planner|1963-05-07|24402847841|adults_50up_male_rural.json|f82e5a28488069b35abad52cf135cb71|2020-10-04|22:16:48|1601871408|misc_net|726.97|1|fraud_Moore, Dibbert and Koepp|47.102845|-115.897038
537-67-6468|213141869303268|Ryan|Pena|M|9674 Brianna Corner Suite 053|Deary|ID|83823|46.8061|-116.5238|1318|Transport planner|1963-05-07|24402847841|adults_50up_male_rural.json|95c5d6fc038fc2bd996632be323d78a7|2020-10-04|23:34:16|1601876056|shopping_net|857.43|1|fraud_Boyer-Reichert|46.013718|-116.850402
537-67-6468|213141869303268|Ryan|Pena|M|9674 Brianna Corner Suite 053|Deary|ID|83823|46.8061|-116.5238|1318|Transport planner|1963-05-07|24402847841|adults_50up_male_rural.json|8aef04dae0df2b384b5212e4bf61a678|2020-10-04|22:59:50|1601873990|misc_net|955.69|1|fraud_Klocko LLC|46.540620|-117.102981
537-67-6468|213141869303268|Ryan|Pena|M|9674 Brianna Corner Suite 053|Deary|ID|83823|46.8061|-116.5238|1318|Transport planner|1963-05-07|24402847841|adults_50up_male_rural.json|d81fc390e7143fa760a0dd64f3ed9e7f|2020-10-05|22:27:02|1601958422|shopping_pos|890.01|1|fraud_Dooley Inc|46.389741|-115.717040
537-67-6468|213141869303268|Ryan|Pena|M|9674 Brianna Corner Suite 053|Deary|ID|83823|46.8061|-116.5238|1318|Transport planner|1963-05-07|24402847841|adults_50up_male_rural.json|3a47400d4bb20570e922a37e6e6e3db1|2020-10-04|23:50:42|1601877042|shopping_net|800.88|1|fraud_Kerluke-Abshire|47.641660|-116.716992
537-67-6468|213141869303268|Ryan|Pena|M|9674 Brianna Corner Suite 053|Deary|ID|83823|46.8061|-116.5238|1318|Transport planner|1963-05-07|24402847841|adults_50up_male_rural.json|208b243041b84919284f57a967634192|2020-10-05|22:03:32|1601957012|shopping_pos|804.56|1|fraud_Jast-McDermott|46.281906|-115.541824
537-67-6468|213141869303268|Ryan|Pena|M|9674 Brianna Corner Suite 053|Deary|ID|83823|46.8061|-116.5238|1318|Transport planner|1963-05-07|24402847841|adults_50up_male_rural.json|aaa69f09ce1a9bf397e43afad19985ea|2019-12-27|03:43:46|1577443426|shopping_pos|63.54|0|fraud_Hudson-Grady|46.384922|-116.869879
537-67-6468|213141869303268|Ryan|Pena|M|9674 Brianna Corner Suite 053|Deary|ID|83823|46.8061|-116.5238|1318|Transport planner|1963-05-07|24402847841|adults_50up_male_rural.json|8a69991dc83e772442a342ee375eb8eb|2019-04-27|01:35:23|1556350523|gas_transport|34.34|0|fraud_Mraz-Herzog|46.950187|-116.770980
537-67-6468|213141869303268|Ryan|Pena|M|9674 Brianna Corner Suite 053|Deary|ID|83823|46.8061|-116.5238|1318|Transport planner|1963-05-07|24402847841|adults_50up_male_rural.json|7c2fafeff98c5fbaa17a294b45327e34|2019-09-17|04:04:58|1568714698|misc_pos|72.71|0|fraud_Gutmann-Upton|47.400434|-117.406329
537-67-6468|213141869303268|Ryan|Pena|M|9674 Brianna Corner Suite 053|Deary|ID|83823|46.8061|-116.5238|1318|Transport planner|1963-05-07|24402847841|adults_50up_male_rural.json|acf1f7d8fcba7c6fe3129e520cabd3c8|2019-12-06|03:29:40|1575628180|shopping_pos|66.96|0|fraud_Macejkovic-Lesch|47.130252|-117.060000
537-67-6468|213141869303268|Ryan|Pena|M|9674 Brianna Corner Suite 053|Deary|ID|83823|46.8061|-116.5238|1318|Transport planner|1963-05-07|24402847841|adults_50up_male_rural.json|5b0f9d291030ce7ac319240af5087365|2019-02-21|01:05:30|1550736330|gas_transport|36.78|0|fraud_Harber Inc|46.192761|-117.166364
537-67-6468|213141869303268|Ryan|Pena|M|9674 Brianna Corner Suite 053|Deary|ID|83823|46.8061|-116.5238|1318|Transport planner|1963-05-07|24402847841|adults_50up_male_rural.json|c86ed11f09d92dc55032870cf5ad20ca|2019-12-06|01:00:20|1575619220|shopping_pos|56.58|0|fraud_Denesik and Sons|47.550976|-115.895978
537-67-6468|213141869303268|Ryan|Pena|M|9674 Brianna Corner Suite 053|Deary|ID|83823|46.8061|-116.5238|1318|Transport planner|1963-05-07|24402847841|adults_50up_male_rural.json|7e791264afcbe8199ee4cc43992cdcf7|2019-03-28|03:51:45|1553766705|gas_transport|56.80|0|fraud_Cummings LLC|47.673629|-117.294919
537-67-6468|213141869303268|Ryan|Pena|M|9674 Brianna Corner Suite 053|Deary|ID|83823|46.8061|-116.5238|1318|Transport planner|1963-05-07|24402847841|adults_50up_male_rural.json|1a29a315174ef98088fb04b128490034|2019-07-31|03:20:29|1564564829|misc_net|31.27|0|fraud_Bernier, Volkman and Hoeger|47.054687|-117.442753
537-67-6468|213141869303268|Ryan|Pena|M|9674 Brianna Corner Suite 053|Deary|ID|83823|46.8061|-116.5238|1318|Transport planner|1963-05-07|24402847841|adults_50up_male_rural.json|218da26840a653ae01813768cf32dc10|2019-07-18|03:04:45|1563440685|grocery_pos|62.04|0|fraud_Schoen, Kuphal and Nitzsche|47.378243|-117.307296
537-67-6468|213141869303268|Ryan|Pena|M|9674 Brianna Corner Suite 053|Deary|ID|83823|46.8061|-116.5238|1318|Transport planner|1963-05-07|24402847841|adults_50up_male_rural.json|4140a39c0bed4558cec53843d0764ce0|2019-05-24|09:52:17|1558713137|grocery_pos|59.65|0|fraud_Kilback LLC|46.079041|-116.702157
537-67-6468|213141869303268|Ryan|Pena|M|9674 Brianna Corner Suite 053|Deary|ID|83823|46.8061|-116.5238|1318|Transport planner|1963-05-07|24402847841|adults_50up_male_rural.json|c95feaebf31594d17d6aaa46d508856c|2019-06-24|10:12:02|1561392722|grocery_pos|80.40|0|fraud_Kutch and Sons|47.612016|-116.119068
537-67-6468|213141869303268|Ryan|Pena|M|9674 Brianna Corner Suite 053|Deary|ID|83823|46.8061|-116.5238|1318|Transport planner|1963-05-07|24402847841|adults_50up_male_rural.json|867af849b8b6bc29f1d1bba5d4907335|2019-11-05|07:56:25|1572965785|shopping_net|61.69|0|fraud_Boyer-Reichert|46.044865|-115.646265
537-67-6468|213141869303268|Ryan|Pena|M|9674 Brianna Corner Suite 053|Deary|ID|83823|46.8061|-116.5238|1318|Transport planner|1963-05-07|24402847841|adults_50up_male_rural.json|15435e6f9591c7e398fa1852aaff4760|2019-12-05|03:29:26|1575541766|shopping_pos|44.43|0|fraud_Kris-Padberg|46.211989|-116.242913
537-67-6468|213141869303268|Ryan|Pena|M|9674 Brianna Corner Suite 053|Deary|ID|83823|46.8061|-116.5238|1318|Transport planner|1963-05-07|24402847841|adults_50up_male_rural.json|fc0c1fb75fd74af916afd627419a0258|2019-07-07|06:25:43|1562502343|grocery_pos|86.74|0|fraud_Vandervort-Funk|46.762299|-115.608924
537-67-6468|213141869303268|Ryan|Pena|M|9674 Brianna Corner Suite 053|Deary|ID|83823|46.8061|-116.5238|1318|Transport planner|1963-05-07|24402847841|adults_50up_male_rural.json|1fe787bee39ba355e3b63cda09eaf7ed|2019-06-16|09:29:48|1560698988|grocery_pos|49.53|0|fraud_Bradtke PLC|45.947798|-116.378309
537-67-6468|213141869303268|Ryan|Pena|M|9674 Brianna Corner Suite 053|Deary|ID|83823|46.8061|-116.5238|1318|Transport planner|1963-05-07|24402847841|adults_50up_male_rural.json|e3717f19ccbfceef747b0d5c85b757b4|2019-11-30|08:05:56|1575126356|shopping_pos|58.76|0|fraud_Pfeffer and Sons|47.173573|-116.494365
537-67-6468|213141869303268|Ryan|Pena|M|9674 Brianna Corner Suite 053|Deary|ID|83823|46.8061|-116.5238|1318|Transport planner|1963-05-07|24402847841|adults_50up_male_rural.json|f3f5ba60e7fbbadeceba22514b1f325f|2019-08-23|01:09:54|1566544194|misc_net|39.54|0|fraud_Klocko LLC|46.898060|-116.657304
