ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile
026-95-4507|4218196001337|Jonathan|Johnson|M|863 Lawrence Valleys|Scottsburg|IN|47170|38.6885|-85.7987|14795|Accounting technician|1967-08-29|888022315787|adults_50up_male_urban.json
433-44-4553|4511615594078163|Blake|Carter|M|310 Kendra Common Apt. 164|Baton Rouge|LA|70807|30.5768|-91.2246|378909|Professor Emeritus|1990-02-28|917558277935|adults_2550_male_urban.json
380-46-3433|4192832764835035|Rodney|Trujillo|M|1395 Diana Locks Suite 242|Fort Supply|OK|73841|36.5722|-99.5738|1482|Fine artist|1988-07-04|617380026649|adults_2550_male_rural.json
765-75-7020|3553287101226916|James|Carlson|M|480 Erin Plain Suite 514|Bethel Park|PA|15102|40.321|-80.0398|29529|Presenter, broadcasting|1993-01-16|498895488714|adults_2550_male_urban.json
740-93-4316|213181489325283|Troy|Nielsen|M|570 Sarah Wells|Toledo|OR|97391|44.6271|-123.9301|5344|Information systems manager|2003-01-31|61157982007|young_adults_male_urban.json
581-11-1404|3518227824896383|Nicole|Vaughn|F|5787 John Circles Suite 098|Hawthorne|CA|90250|33.9143|-118.3493|93193|Event organiser|1958-04-11|243045499634|adults_50up_female_urban.json
725-81-0965|4051834738295|Laura|Sanchez|F|3116 Henderson Mountain Apt. 106|Omaha|NE|68106|41.2403|-95.998|518429|Librarian, academic|1958-03-09|948331323761|adults_50up_female_urban.json
197-25-8787|30262473178101|Matthew|Fernandez|M|32677 Michelle Circle|West Palm Beach|FL|33405|26.67|-80.0582|459921|Development worker, international aid|2006-11-05|1627677155|young_adults_male_urban.json
272-59-4674|6523430980500973|Kathryn|Farrell|F|81219 Emma Freeway|Claremore|OK|74019|36.2806|-95.6039|45705|Operations geologist|1975-09-03|626594012825|adults_50up_female_urban.json
609-06-1344|6543534624751078|Marc|Hart|M|83842 Ibarra Gardens|Dallas|TX|75201|32.7904|-96.8044|1263321|Merchant navy officer|1941-06-01|173022703378|adults_50up_male_urban.json
557-91-4957|3584124118244934|Mitchell|Harris|M|740 Cynthia Village Suite 005|Roy|UT|84067|41.1724|-112.0382|37444|Conservator, furniture|2001-06-02|177218748445|young_adults_male_urban.json
565-91-7008|213111280598267|Cameron|Parker|M|3315 Dickson Summit|Victorville|CA|92392|34.4802|-117.4082|130495|Designer, fashion/clothing|1961-04-25|950204551500|adults_50up_male_urban.json
820-23-6756|503856342160|Shelby|Garrison|F|75433 Donna Locks|Sioux City|IA|51106|42.4671|-96.3528|85884|Land/geomatics surveyor|1967-03-26|950384363434|adults_50up_female_urban.json
792-36-5754|4850142940196556|Jeffrey|Joyce|M|9340 Smith Valley|Greer|SC|29650|34.8968|-82.2674|75476|Solicitor|1979-10-22|793224011429|adults_2550_male_urban.json
755-86-3229|371595148465644|Julian|Lee|M|299 Sullivan Village Apt. 443|Ritzville|WA|99169|47.1315|-118.3958|2459|Planning and development surveyor|1933-07-02|639029968283|adults_50up_male_rural.json
330-60-7239|30387214895133|Megan|Walker|F|00379 Stanley Roads|Bessemer|AL|35020|33.409|-86.9475|71463|Teaching laboratory technician|1964-10-23|786814108140|adults_50up_female_urban.json
507-52-3998|4163287083172781|Victoria|Larson|F|868 Merritt Summit Suite 743|Madbury|NH|03823|43.1729|-70.9412|1719|Health and safety inspector|1970-02-22|857987636625|adults_50up_female_rural.json
