ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
689-41-2773|3580660138241271|Amanda|Franklin|F|04485 Matthew Port Apt. 971|Ogdensburg|WI|54962|44.4268|-88.9932|1110|Commercial horticulturist|2005-09-01|102727075425|young_adults_female_rural.json|2d508c4c95262eda8feb69f6e0b9951b|2020-08-23|03:59:07|1598176747|grocery_pos|332.42|1|fraud_Pacocha-O'Reilly|43.756213|-89.656042
689-41-2773|3580660138241271|Amanda|Franklin|F|04485 Matthew Port Apt. 971|Ogdensburg|WI|54962|44.4268|-88.9932|1110|Commercial horticulturist|2005-09-01|102727075425|young_adults_female_rural.json|09c04e6d9b7c3e7e7727b79c87794b90|2020-08-23|08:37:19|1598193439|grocery_pos|267.77|1|fraud_Kuhic Inc|43.430810|-89.229255
689-41-2773|3580660138241271|Amanda|Franklin|F|04485 Matthew Port Apt. 971|Ogdensburg|WI|54962|44.4268|-88.9932|1110|Commercial horticulturist|2005-09-01|102727075425|young_adults_female_rural.json|b954c5063d43febedc5f97ac7915383b|2020-08-23|00:51:29|1598165489|grocery_pos|338.67|1|fraud_Stracke-Lemke|43.475130|-88.321991
689-41-2773|3580660138241271|Amanda|Franklin|F|04485 Matthew Port Apt. 971|Ogdensburg|WI|54962|44.4268|-88.9932|1110|Commercial horticulturist|2005-09-01|102727075425|young_adults_female_rural.json|31ed6f276f67de94f5f948c8cce513a1|2020-08-23|03:44:33|1598175873|grocery_pos|332.88|1|fraud_Barton Inc|45.353022|-89.790489
689-41-2773|3580660138241271|Amanda|Franklin|F|04485 Matthew Port Apt. 971|Ogdensburg|WI|54962|44.4268|-88.9932|1110|Commercial horticulturist|2005-09-01|102727075425|young_adults_female_rural.json|a5505e8c1274aec8475d53bc68671349|2020-08-24|23:49:53|1598334593|shopping_net|742.01|1|fraud_Kozey-Boehm|45.203242|-88.558791
689-41-2773|3580660138241271|Amanda|Franklin|F|04485 Matthew Port Apt. 971|Ogdensburg|WI|54962|44.4268|-88.9932|1110|Commercial horticulturist|2005-09-01|102727075425|young_adults_female_rural.json|eef3e07916d9b80634bb913df6ef343a|2020-08-23|18:38:52|1598229532|misc_net|800.14|1|fraud_Greenfelder, Bartoletti and Davis|45.032642|-88.817671
689-41-2773|3580660138241271|Amanda|Franklin|F|04485 Matthew Port Apt. 971|Ogdensburg|WI|54962|44.4268|-88.9932|1110|Commercial horticulturist|2005-09-01|102727075425|young_adults_female_rural.json|fd03dea0c8abfa2a5685041e98570063|2020-08-24|23:58:23|1598335103|shopping_pos|743.72|1|fraud_Sawayn PLC|43.899812|-89.477607
689-41-2773|3580660138241271|Amanda|Franklin|F|04485 Matthew Port Apt. 971|Ogdensburg|WI|54962|44.4268|-88.9932|1110|Commercial horticulturist|2005-09-01|102727075425|young_adults_female_rural.json|b10f8169cdbbcb6a634db954d070b56d|2020-08-23|22:28:19|1598243299|misc_net|865.16|1|fraud_Tillman, Fritsch and Schmitt|44.866451|-88.144796
689-41-2773|3580660138241271|Amanda|Franklin|F|04485 Matthew Port Apt. 971|Ogdensburg|WI|54962|44.4268|-88.9932|1110|Commercial horticulturist|2005-09-01|102727075425|young_adults_female_rural.json|4178fb67eb751c2100a19b8894723e30|2020-08-23|22:35:54|1598243754|misc_net|943.18|1|fraud_Kerluke, Kertzmann and Wiza|45.417092|-89.193493
689-41-2773|3580660138241271|Amanda|Franklin|F|04485 Matthew Port Apt. 971|Ogdensburg|WI|54962|44.4268|-88.9932|1110|Commercial horticulturist|2005-09-01|102727075425|young_adults_female_rural.json|bf52bc4054a96ff56939037744ec98cd|2020-08-23|22:55:33|1598244933|shopping_net|1212.74|1|fraud_Towne, Greenholt and Koepp|44.918055|-89.863674
689-41-2773|3580660138241271|Amanda|Franklin|F|04485 Matthew Port Apt. 971|Ogdensburg|WI|54962|44.4268|-88.9932|1110|Commercial horticulturist|2005-09-01|102727075425|young_adults_female_rural.json|fbc08983fa3618bf0b0645237c0c3217|2019-06-13|08:53:27|1560437607|grocery_net|50.67|0|fraud_Shields Inc|44.447425|-88.803245
689-41-2773|3580660138241271|Amanda|Franklin|F|04485 Matthew Port Apt. 971|Ogdensburg|WI|54962|44.4268|-88.9932|1110|Commercial horticulturist|2005-09-01|102727075425|young_adults_female_rural.json|ff128b7eea47770387560c0feb4f3dd2|2019-07-02|03:55:45|1562061345|grocery_pos|50.98|0|fraud_Schoen, Kuphal and Nitzsche|44.825086|-89.878492
689-41-2773|3580660138241271|Amanda|Franklin|F|04485 Matthew Port Apt. 971|Ogdensburg|WI|54962|44.4268|-88.9932|1110|Commercial horticulturist|2005-09-01|102727075425|young_adults_female_rural.json|411a224613d9d623c01ddf316565cbfc|2019-06-29|04:48:07|1561805287|grocery_pos|47.82|0|fraud_Bogisich Inc|44.744703|-89.802147
689-41-2773|3580660138241271|Amanda|Franklin|F|04485 Matthew Port Apt. 971|Ogdensburg|WI|54962|44.4268|-88.9932|1110|Commercial horticulturist|2005-09-01|102727075425|young_adults_female_rural.json|db5c78b667bd3c1fd56706bcda8cf54e|2019-04-26|08:27:29|1556288849|gas_transport|62.94|0|fraud_Kuvalis Ltd|44.097259|-88.208089
689-41-2773|3580660138241271|Amanda|Franklin|F|04485 Matthew Port Apt. 971|Ogdensburg|WI|54962|44.4268|-88.9932|1110|Commercial horticulturist|2005-09-01|102727075425|young_adults_female_rural.json|9f0bbb87959f843ee9cde7424ba29675|2019-06-16|03:08:39|1560676119|grocery_pos|71.95|0|fraud_Lockman Ltd|44.772019|-89.450081
689-41-2773|3580660138241271|Amanda|Franklin|F|04485 Matthew Port Apt. 971|Ogdensburg|WI|54962|44.4268|-88.9932|1110|Commercial horticulturist|2005-09-01|102727075425|young_adults_female_rural.json|540eec5bf03d0f250afbf221c3f5ae1d|2019-01-30|07:36:23|1548858983|gas_transport|55.77|0|fraud_Friesen-Stamm|44.149834|-89.066792
689-41-2773|3580660138241271|Amanda|Franklin|F|04485 Matthew Port Apt. 971|Ogdensburg|WI|54962|44.4268|-88.9932|1110|Commercial horticulturist|2005-09-01|102727075425|young_adults_female_rural.json|fdd97490daab147e4ea4df99264621b3|2019-01-26|01:03:49|1548489829|gas_transport|65.98|0|fraud_Luettgen PLC|45.253264|-89.073371
689-41-2773|3580660138241271|Amanda|Franklin|F|04485 Matthew Port Apt. 971|Ogdensburg|WI|54962|44.4268|-88.9932|1110|Commercial horticulturist|2005-09-01|102727075425|young_adults_female_rural.json|e7d2aa1afe4c8d1f8e08fac2104333af|2019-06-22|07:16:04|1561209364|grocery_pos|97.35|0|fraud_Heller, Gutmann and Zieme|44.213814|-89.797609
689-41-2773|3580660138241271|Amanda|Franklin|F|04485 Matthew Port Apt. 971|Ogdensburg|WI|54962|44.4268|-88.9932|1110|Commercial horticulturist|2005-09-01|102727075425|young_adults_female_rural.json|cc46fef5b457f5315faa1ac676270800|2019-05-01|01:24:31|1556695471|grocery_net|50.30|0|fraud_Funk Group|44.418450|-89.179121
689-41-2773|3580660138241271|Amanda|Franklin|F|04485 Matthew Port Apt. 971|Ogdensburg|WI|54962|44.4268|-88.9932|1110|Commercial horticulturist|2005-09-01|102727075425|young_adults_female_rural.json|f5dd6aa0c9a4f0ca00954f996c89620d|2019-03-01|02:50:37|1551433837|gas_transport|71.52|0|fraud_Jenkins, Hauck and Friesen|43.895943|-88.925629
689-41-2773|3580660138241271|Amanda|Franklin|F|04485 Matthew Port Apt. 971|Ogdensburg|WI|54962|44.4268|-88.9932|1110|Commercial horticulturist|2005-09-01|102727075425|young_adults_female_rural.json|fc1a00838447cc7a86dc020c8fb19e3e|2019-01-23|11:42:46|1548268966|gas_transport|59.41|0|fraud_Koss and Sons|44.491875|-89.516248
689-41-2773|3580660138241271|Amanda|Franklin|F|04485 Matthew Port Apt. 971|Ogdensburg|WI|54962|44.4268|-88.9932|1110|Commercial horticulturist|2005-09-01|102727075425|young_adults_female_rural.json|57a64de1dc3e58519dd451b894677c17|2019-06-16|10:09:06|1560701346|grocery_pos|48.33|0|fraud_Barton Inc|43.821709|-89.638181
689-41-2773|3580660138241271|Amanda|Franklin|F|04485 Matthew Port Apt. 971|Ogdensburg|WI|54962|44.4268|-88.9932|1110|Commercial horticulturist|2005-09-01|102727075425|young_adults_female_rural.json|4fd1ee0580b6868fc389660477130b68|2019-05-23|01:13:20|1558595600|grocery_net|35.91|0|fraud_Kling-Grant|45.261214|-88.841146
689-41-2773|3580660138241271|Amanda|Franklin|F|04485 Matthew Port Apt. 971|Ogdensburg|WI|54962|44.4268|-88.9932|1110|Commercial horticulturist|2005-09-01|102727075425|young_adults_female_rural.json|3f0640d4402b0727db25f79ac823b309|2019-03-08|04:01:58|1552042918|gas_transport|64.03|0|fraud_Harber Inc|45.363832|-88.400393
689-41-2773|3580660138241271|Amanda|Franklin|F|04485 Matthew Port Apt. 971|Ogdensburg|WI|54962|44.4268|-88.9932|1110|Commercial horticulturist|2005-09-01|102727075425|young_adults_female_rural.json|1428af23737d62cb7b851eae600b923b|2019-04-23|01:55:55|1556006155|gas_transport|55.96|0|fraud_Corwin-Collins|45.318989|-88.495360
