ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
733-74-2501|4342108902851|Tina|Murphy|F|33426 Hall Forge Suite 027|Madison|WI|53711|43.0356|-89.4526|272940|Community pharmacist|2003-04-11|27380905918|young_adults_female_urban.json|9aa5802db34688246ead65875feb5430|2019-11-24|01:41:35|1574584895|grocery_pos|312.74|1|fraud_Kunze Inc|43.999588|-89.054109
733-74-2501|4342108902851|Tina|Murphy|F|33426 Hall Forge Suite 027|Madison|WI|53711|43.0356|-89.4526|272940|Community pharmacist|2003-04-11|27380905918|young_adults_female_urban.json|73fad8a759fb8eea0d58d3298cf0a55d|2019-11-24|03:58:15|1574593095|grocery_pos|316.28|1|fraud_O'Keefe-Hudson|42.562772|-89.469768
733-74-2501|4342108902851|Tina|Murphy|F|33426 Hall Forge Suite 027|Madison|WI|53711|43.0356|-89.4526|272940|Community pharmacist|2003-04-11|27380905918|young_adults_female_urban.json|338b9537bde2cbe9a60b5bb360033888|2019-11-24|03:52:38|1574592758|grocery_pos|322.80|1|fraud_Lockman Ltd|43.194137|-89.647268
733-74-2501|4342108902851|Tina|Murphy|F|33426 Hall Forge Suite 027|Madison|WI|53711|43.0356|-89.4526|272940|Community pharmacist|2003-04-11|27380905918|young_adults_female_urban.json|8fc115200cf2a6a8435aa97ffbfedcd9|2019-11-24|03:37:02|1574591822|grocery_pos|274.78|1|fraud_Rutherford-Mertz|43.121681|-90.270503
733-74-2501|4342108902851|Tina|Murphy|F|33426 Hall Forge Suite 027|Madison|WI|53711|43.0356|-89.4526|272940|Community pharmacist|2003-04-11|27380905918|young_adults_female_urban.json|3065e64ef071022b525d881a9d5b0fc1|2019-11-25|23:29:09|1574749749|entertainment|980.39|1|fraud_Nienow PLC|43.752044|-89.439634
733-74-2501|4342108902851|Tina|Murphy|F|33426 Hall Forge Suite 027|Madison|WI|53711|43.0356|-89.4526|272940|Community pharmacist|2003-04-11|27380905918|young_adults_female_urban.json|3f49d2551e4821cbe81cf00e08cf756e|2019-11-24|22:20:44|1574659244|shopping_net|939.00|1|fraud_Kihn, Abernathy and Douglas|43.243152|-89.465670
733-74-2501|4342108902851|Tina|Murphy|F|33426 Hall Forge Suite 027|Madison|WI|53711|43.0356|-89.4526|272940|Community pharmacist|2003-04-11|27380905918|young_adults_female_urban.json|7d64af1cde381bec498d1111742afbb1|2019-11-24|23:43:33|1574664213|shopping_net|1123.04|1|fraud_Ruecker, Beer and Collier|42.920332|-88.568492
733-74-2501|4342108902851|Tina|Murphy|F|33426 Hall Forge Suite 027|Madison|WI|53711|43.0356|-89.4526|272940|Community pharmacist|2003-04-11|27380905918|young_adults_female_urban.json|7a31fe733005f2bb2cea8a863dc808d1|2019-11-24|22:32:15|1574659935|shopping_net|491.77|1|fraud_Bashirian Group|42.275799|-89.523936
844-53-6179|4749060723111271286|Erin|Harding|F|648 Mitchell Port Suite 116|Corona|CA|92879|33.8797|-117.5354|233717|Engineer, drilling|2010-04-07|98570397425|young_adults_female_urban.json|b6732eefb274c3316e0390b4adf16425|2020-11-03|00:26:24|1604388384|misc_net|8.03|1|fraud_Kuphal-Bartoletti|33.091505|-117.048515
844-53-6179|4749060723111271286|Erin|Harding|F|648 Mitchell Port Suite 116|Corona|CA|92879|33.8797|-117.5354|233717|Engineer, drilling|2010-04-07|98570397425|young_adults_female_urban.json|fe87b3531328b30b3442742927317f7b|2020-11-03|03:26:52|1604399212|gas_transport|295.01|1|fraud_Connelly, Reichert and Fritsch|33.011704|-117.729940
844-53-6179|4749060723111271286|Erin|Harding|F|648 Mitchell Port Suite 116|Corona|CA|92879|33.8797|-117.5354|233717|Engineer, drilling|2010-04-07|98570397425|young_adults_female_urban.json|920e389d7e9cecdcdfbea875f56bcefb|2020-11-03|02:24:47|1604395487|grocery_pos|290.73|1|fraud_Bogisich Inc|33.905732|-118.393053
844-53-6179|4749060723111271286|Erin|Harding|F|648 Mitchell Port Suite 116|Corona|CA|92879|33.8797|-117.5354|233717|Engineer, drilling|2010-04-07|98570397425|young_adults_female_urban.json|e30e9b322a21fe9a84d3a8935204dc36|2020-11-03|01:56:10|1604393770|grocery_pos|329.27|1|fraud_Deckow-O'Conner|33.121359|-117.727708
844-53-6179|4749060723111271286|Erin|Harding|F|648 Mitchell Port Suite 116|Corona|CA|92879|33.8797|-117.5354|233717|Engineer, drilling|2010-04-07|98570397425|young_adults_female_urban.json|a74b4c6035888920ee4fc362b4fb3aa9|2020-11-03|09:30:29|1604421029|grocery_pos|631.43|1|fraud_Lockman Ltd|33.977526|-118.112841
844-53-6179|4749060723111271286|Erin|Harding|F|648 Mitchell Port Suite 116|Corona|CA|92879|33.8797|-117.5354|233717|Engineer, drilling|2010-04-07|98570397425|young_adults_female_urban.json|8e4025de399d644f2694ec357af4553b|2020-11-04|16:08:16|1604531296|kids_pets|1021.95|1|fraud_Bogisich-Weimann|33.255139|-116.912000
844-53-6179|4749060723111271286|Erin|Harding|F|648 Mitchell Port Suite 116|Corona|CA|92879|33.8797|-117.5354|233717|Engineer, drilling|2010-04-07|98570397425|young_adults_female_urban.json|8ac058ecd1cb908f38e08167791dc842|2020-11-04|23:46:08|1604558768|shopping_net|1002.53|1|fraud_Schumm PLC|33.769466|-116.701817
844-53-6179|4749060723111271286|Erin|Harding|F|648 Mitchell Port Suite 116|Corona|CA|92879|33.8797|-117.5354|233717|Engineer, drilling|2010-04-07|98570397425|young_adults_female_urban.json|252bd646498e5d60b59d00620e4e6b29|2020-11-04|19:19:35|1604542775|shopping_net|1250.29|1|fraud_Labadie, Treutel and Bode|32.885504|-116.720116
844-53-6179|4749060723111271286|Erin|Harding|F|648 Mitchell Port Suite 116|Corona|CA|92879|33.8797|-117.5354|233717|Engineer, drilling|2010-04-07|98570397425|young_adults_female_urban.json|55699f0ae732525b5241f74d4f071e04|2020-11-04|23:35:24|1604558124|shopping_net|22.11|1|fraud_Altenwerth, Cartwright and Koss|33.603613|-118.144705
844-53-6179|4749060723111271286|Erin|Harding|F|648 Mitchell Port Suite 116|Corona|CA|92879|33.8797|-117.5354|233717|Engineer, drilling|2010-04-07|98570397425|young_adults_female_urban.json|185c17deb5347505b1c0298fedc8f023|2019-06-09|01:37:13|1560065833|grocery_pos|61.82|0|fraud_Kunze Inc|34.834427|-117.823435
844-53-6179|4749060723111271286|Erin|Harding|F|648 Mitchell Port Suite 116|Corona|CA|92879|33.8797|-117.5354|233717|Engineer, drilling|2010-04-07|98570397425|young_adults_female_urban.json|abbf83de2d4cecae10654629fc5844a5|2019-01-07|05:05:32|1546862732|gas_transport|58.60|0|fraud_Kutch, Hermiston and Farrell|34.851507|-117.291651
