ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
844-02-8186|2375321633613172|Louis|Rose|M|004 John Spring Apt. 954|Delco|NC|28436|34.2838|-78.2607|2203|Meteorologist|2002-05-25|852619248945|young_adults_male_rural.json|285d350d9adb2e4e5780a3db4c86cbd9|2020-10-27|02:55:28|1603788928|grocery_pos|11.25|1|fraud_Bogisich Inc|34.932557|-78.091410
844-02-8186|2375321633613172|Louis|Rose|M|004 John Spring Apt. 954|Delco|NC|28436|34.2838|-78.2607|2203|Meteorologist|2002-05-25|852619248945|young_adults_male_rural.json|3bfad76b17c01f2152eef3bc15a3f038|2020-10-27|01:54:59|1603785299|grocery_pos|8.76|1|fraud_Pacocha-O'Reilly|33.975508|-77.312033
844-02-8186|2375321633613172|Louis|Rose|M|004 John Spring Apt. 954|Delco|NC|28436|34.2838|-78.2607|2203|Meteorologist|2002-05-25|852619248945|young_adults_male_rural.json|193f3bd45b47b27d0a526992fb38086f|2020-10-27|02:20:30|1603786830|grocery_pos|316.32|1|fraud_DuBuque LLC|33.938910|-77.564224
844-02-8186|2375321633613172|Louis|Rose|M|004 John Spring Apt. 954|Delco|NC|28436|34.2838|-78.2607|2203|Meteorologist|2002-05-25|852619248945|young_adults_male_rural.json|9d737f53ece64a6054dd0337024ec98a|2020-10-27|00:43:54|1603781034|gas_transport|282.64|1|fraud_Kutch LLC|33.433296|-78.184199
844-02-8186|2375321633613172|Louis|Rose|M|004 John Spring Apt. 954|Delco|NC|28436|34.2838|-78.2607|2203|Meteorologist|2002-05-25|852619248945|young_adults_male_rural.json|e8ebffae6f2397b13f1afdc01100deeb|2020-10-27|02:43:31|1603788211|grocery_pos|292.11|1|fraud_Kiehn Inc|34.202500|-78.126736
844-02-8186|2375321633613172|Louis|Rose|M|004 John Spring Apt. 954|Delco|NC|28436|34.2838|-78.2607|2203|Meteorologist|2002-05-25|852619248945|young_adults_male_rural.json|66423f759e4d6e5d2335af26a547eb52|2020-10-27|01:27:10|1603783630|grocery_net|297.62|1|fraud_Cummings Group|34.132820|-77.712014
844-02-8186|2375321633613172|Louis|Rose|M|004 John Spring Apt. 954|Delco|NC|28436|34.2838|-78.2607|2203|Meteorologist|2002-05-25|852619248945|young_adults_male_rural.json|4b54b4e80983dff636ec2dc5bce52cc3|2020-10-27|01:20:31|1603783231|grocery_pos|297.40|1|fraud_DuBuque LLC|33.787648|-78.229778
844-02-8186|2375321633613172|Louis|Rose|M|004 John Spring Apt. 954|Delco|NC|28436|34.2838|-78.2607|2203|Meteorologist|2002-05-25|852619248945|young_adults_male_rural.json|ffc548a46bc1b323500042a7318d4ad2|2020-10-28|23:49:42|1603950582|entertainment|857.80|1|fraud_Douglas-White|33.878848|-78.528205
844-02-8186|2375321633613172|Louis|Rose|M|004 John Spring Apt. 954|Delco|NC|28436|34.2838|-78.2607|2203|Meteorologist|2002-05-25|852619248945|young_adults_male_rural.json|0ac53ddf0b88beea66e54be813ef1f6e|2020-10-28|23:09:03|1603948143|entertainment|1015.05|1|fraud_Dibbert and Sons|34.659446|-78.357746
844-02-8186|2375321633613172|Louis|Rose|M|004 John Spring Apt. 954|Delco|NC|28436|34.2838|-78.2607|2203|Meteorologist|2002-05-25|852619248945|young_adults_male_rural.json|754da63d1b197c556eeb611fe78c6535|2020-10-27|23:29:57|1603862997|misc_net|487.61|1|fraud_Dach-Nader|34.176159|-78.862654
844-02-8186|2375321633613172|Louis|Rose|M|004 John Spring Apt. 954|Delco|NC|28436|34.2838|-78.2607|2203|Meteorologist|2002-05-25|852619248945|young_adults_male_rural.json|13fd79d8889a782a36fc766aa971f305|2020-10-28|22:10:37|1603944637|shopping_net|513.35|1|fraud_Volkman-Predovic|33.899378|-79.056677
844-02-8186|2375321633613172|Louis|Rose|M|004 John Spring Apt. 954|Delco|NC|28436|34.2838|-78.2607|2203|Meteorologist|2002-05-25|852619248945|young_adults_male_rural.json|4463fa40c103dcbc96badda4dbb4f411|2019-05-18|10:15:03|1558196103|grocery_net|57.86|0|fraud_Smitham-Schiller|34.669670|-78.336799
844-02-8186|2375321633613172|Louis|Rose|M|004 John Spring Apt. 954|Delco|NC|28436|34.2838|-78.2607|2203|Meteorologist|2002-05-25|852619248945|young_adults_male_rural.json|3c47fa6752bffc7c9ff46a40079408d9|2019-02-28|10:58:20|1551376700|gas_transport|47.60|0|fraud_Prohaska-Murray|34.204507|-77.803495
844-02-8186|2375321633613172|Louis|Rose|M|004 John Spring Apt. 954|Delco|NC|28436|34.2838|-78.2607|2203|Meteorologist|2002-05-25|852619248945|young_adults_male_rural.json|77a14a2774b5dc2bad2a384a4a53fd3c|2019-04-13|00:59:27|1555138767|gas_transport|34.69|0|fraud_Sporer Inc|34.722079|-78.568366
844-02-8186|2375321633613172|Louis|Rose|M|004 John Spring Apt. 954|Delco|NC|28436|34.2838|-78.2607|2203|Meteorologist|2002-05-25|852619248945|young_adults_male_rural.json|74ee5ccdb9e5d26181a6ec5ba99e8ab9|2019-07-01|00:13:12|1561961592|grocery_pos|70.29|0|fraud_Kunze Inc|35.021865|-78.131460
844-02-8186|2375321633613172|Louis|Rose|M|004 John Spring Apt. 954|Delco|NC|28436|34.2838|-78.2607|2203|Meteorologist|2002-05-25|852619248945|young_adults_male_rural.json|21f6563a1bf6ca688369a9dd7494ab5f|2019-05-27|08:48:15|1558968495|grocery_net|59.95|0|fraud_Adams, Kovacek and Kuhlman|33.968965|-78.281039
844-02-8186|2375321633613172|Louis|Rose|M|004 John Spring Apt. 954|Delco|NC|28436|34.2838|-78.2607|2203|Meteorologist|2002-05-25|852619248945|young_adults_male_rural.json|2a98ffd073890c2a63fa2a07d79f58dd|2019-06-14|06:52:06|1560516726|grocery_net|39.82|0|fraud_Dach-Borer|34.737861|-79.167808
844-02-8186|2375321633613172|Louis|Rose|M|004 John Spring Apt. 954|Delco|NC|28436|34.2838|-78.2607|2203|Meteorologist|2002-05-25|852619248945|young_adults_male_rural.json|b5553de223bafca8e77b818a21d6e179|2019-06-08|03:08:22|1559984902|grocery_net|49.61|0|fraud_Harris, Gusikowski and Heaney|33.942567|-78.022430
844-02-8186|2375321633613172|Louis|Rose|M|004 John Spring Apt. 954|Delco|NC|28436|34.2838|-78.2607|2203|Meteorologist|2002-05-25|852619248945|young_adults_male_rural.json|bb393ccd20a348fe95b975b0b5cce7d3|2019-03-09|10:54:50|1552154090|gas_transport|43.77|0|fraud_Zieme, Bode and Dooley|34.118353|-78.351725
844-02-8186|2375321633613172|Louis|Rose|M|004 John Spring Apt. 954|Delco|NC|28436|34.2838|-78.2607|2203|Meteorologist|2002-05-25|852619248945|young_adults_male_rural.json|759b7a9172a27d4a2429e8363230ac4d|2019-05-28|04:33:22|1559039602|grocery_net|36.62|0|fraud_Swift, Bradtke and Marquardt|35.212716|-77.800457
844-02-8186|2375321633613172|Louis|Rose|M|004 John Spring Apt. 954|Delco|NC|28436|34.2838|-78.2607|2203|Meteorologist|2002-05-25|852619248945|young_adults_male_rural.json|c8e07fdc22a140986174e8f218f5cc39|2019-05-03|05:00:01|1556881201|grocery_net|93.41|0|fraud_Hintz-Bruen|34.385367|-77.485801
