ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
420-82-4479|6011879232648700|Rodney|Turner|M|8730 Eric Hills Suite 146|Bland|VA|24315|37.1376|-81.0201|3774|Editorial assistant|2003-04-21|998545049093|young_adults_male_urban.json|35284032b1b50075bee8d28c120fcda0|2019-10-26|02:04:04|1572077044|grocery_pos|11.03|1|fraud_Wolf Inc|37.299312|-80.996608
420-82-4479|6011879232648700|Rodney|Turner|M|8730 Eric Hills Suite 146|Bland|VA|24315|37.1376|-81.0201|3774|Editorial assistant|2003-04-21|998545049093|young_adults_male_urban.json|9a35306ecba38b8de2b83a066f720661|2019-10-26|03:55:53|1572083753|misc_net|12.15|1|fraud_Kerluke, Considine and Macejkovic|37.414979|-81.314637
420-82-4479|6011879232648700|Rodney|Turner|M|8730 Eric Hills Suite 146|Bland|VA|24315|37.1376|-81.0201|3774|Editorial assistant|2003-04-21|998545049093|young_adults_male_urban.json|5227ee008fb3f5cb11d2f7710a389006|2019-10-26|02:01:23|1572076883|misc_net|328.77|1|fraud_Brown PLC|36.548221|-80.987363
420-82-4479|6011879232648700|Rodney|Turner|M|8730 Eric Hills Suite 146|Bland|VA|24315|37.1376|-81.0201|3774|Editorial assistant|2003-04-21|998545049093|young_adults_male_urban.json|cb59441e50559ae8a341cc01599e7580|2019-10-26|00:01:16|1572069676|grocery_pos|301.85|1|fraud_Doyle Ltd|37.720773|-81.779453
420-82-4479|6011879232648700|Rodney|Turner|M|8730 Eric Hills Suite 146|Bland|VA|24315|37.1376|-81.0201|3774|Editorial assistant|2003-04-21|998545049093|young_adults_male_urban.json|a19f44ae74fa45abb465041425cfcf31|2019-10-26|03:33:23|1572082403|gas_transport|330.01|1|fraud_Kutch LLC|37.182880|-81.476854
420-82-4479|6011879232648700|Rodney|Turner|M|8730 Eric Hills Suite 146|Bland|VA|24315|37.1376|-81.0201|3774|Editorial assistant|2003-04-21|998545049093|young_adults_male_urban.json|d2d72893763db2575054eaa84f56ded8|2019-10-26|03:59:45|1572083985|gas_transport|804.06|1|fraud_Conroy-Cruickshank|38.058122|-81.732831
420-82-4479|6011879232648700|Rodney|Turner|M|8730 Eric Hills Suite 146|Bland|VA|24315|37.1376|-81.0201|3774|Editorial assistant|2003-04-21|998545049093|young_adults_male_urban.json|e58e329bb7392f8ee61783680179359a|2019-10-26|00:37:36|1572071856|grocery_pos|892.49|1|fraud_Kiehn-Emmerich|36.574468|-80.095316
420-82-4479|6011879232648700|Rodney|Turner|M|8730 Eric Hills Suite 146|Bland|VA|24315|37.1376|-81.0201|3774|Editorial assistant|2003-04-21|998545049093|young_adults_male_urban.json|d027319a529c468f1915cf91b5e99464|2019-10-26|23:39:00|1572154740|misc_pos|6.97|1|fraud_Kemmer-Buckridge|37.218503|-81.364876
420-82-4479|6011879232648700|Rodney|Turner|M|8730 Eric Hills Suite 146|Bland|VA|24315|37.1376|-81.0201|3774|Editorial assistant|2003-04-21|998545049093|young_adults_male_urban.json|65babeaffcdc43e7b81cfff1ade054ce|2019-10-27|22:28:25|1572236905|shopping_pos|888.48|1|fraud_Douglas, Schneider and Turner|38.127132|-80.547176
420-82-4479|6011879232648700|Rodney|Turner|M|8730 Eric Hills Suite 146|Bland|VA|24315|37.1376|-81.0201|3774|Editorial assistant|2003-04-21|998545049093|young_adults_male_urban.json|ae299370eb6b6dfeb43297962b1a2e4a|2019-10-27|22:38:13|1572237493|shopping_net|1068.80|1|fraud_Baumbach, Feeney and Morar|36.337505|-80.958430
420-82-4479|6011879232648700|Rodney|Turner|M|8730 Eric Hills Suite 146|Bland|VA|24315|37.1376|-81.0201|3774|Editorial assistant|2003-04-21|998545049093|young_adults_male_urban.json|ae1fdaf39dd2e04803ccc86e8ff87ca2|2019-10-27|22:18:04|1572236284|shopping_net|964.03|1|fraud_Predovic Inc|37.876766|-80.903122
420-82-4479|6011879232648700|Rodney|Turner|M|8730 Eric Hills Suite 146|Bland|VA|24315|37.1376|-81.0201|3774|Editorial assistant|2003-04-21|998545049093|young_adults_male_urban.json|1d2b44af31563c3ccda6fa75054081bf|2019-06-05|06:33:40|1559738020|grocery_pos|49.38|0|fraud_Casper, Hand and Zulauf|38.046181|-81.168297
420-82-4479|6011879232648700|Rodney|Turner|M|8730 Eric Hills Suite 146|Bland|VA|24315|37.1376|-81.0201|3774|Editorial assistant|2003-04-21|998545049093|young_adults_male_urban.json|e6ed5b27ff90aff3a3605188e9e926d1|2019-02-09|03:10:27|1549707027|gas_transport|49.03|0|fraud_Robel, Cummerata and Prosacco|36.370225|-80.242131
